rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
33,666018,Jonathan Aranda,TB,ATH,2026-08-12T19:05:00Z,Scheduled,2,Jack Perkins,678022,R,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.5,42.9,30.9,95.5,80.0,40.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,1,"Last 7 games: 8/30, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.73,47.92,91.53,101.3393,0.4695,0.1967,0.3631,70.15,12.27,31.52,30.06,14.7,0.1548,9.67,37.56,88.01,0.3832,0.1566,34.52,,,Sutter Health Park,
34,695600,Carter Jensen,KC,LAD,2026-08-13T02:10:00Z,Scheduled,1,Eric Lauer,641778,L,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",54.6,56.3,27.6,88.7,50.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,1,"Last 7 games: 2/23, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 19.9 HR allowed",EV profile; pitcher allows elevated contact,13.38,48.15,92.11,102.7691,0.4398,0.1976,0.3329,74.1,39.15,40.3,29.65,12.1,0.2066,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
35,691718,Pete Crow-Armstrong,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,1,Jackson Kent,800600,L,53.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",54.5,41.2,28.2,88.7,50.0,87.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.61,46.78,90.06,101.6454,0.4757,0.2239,0.3525,74.17,43.27,49.67,35.43,28.2,0.2529,,,,,,,,,Nationals Park,
36,701538,Jackson Merrill,SD,MIL,2026-08-12T20:10:00Z,Scheduled,5,Dustin May,669160,R,53.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",50.9,42.2,22.6,81.9,80.0,87.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 11.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.09,45.84,90.19,100.7311,0.476,0.2151,0.3372,72.88,26.84,37.56,29.64,18.1,0.1797,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
37,682985,Riley Greene,DET,CLE,2026-08-12T22:40:00Z,Scheduled,4,Foster Griffin,656492,L,53.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",60.2,42.9,27.6,90.4,50.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 21.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.35,47.46,90.32,102.5276,0.4819,0.2312,0.3537,75.6,57.87,38.91,33.1,22.0,0.1944,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
38,663757,Trent Grisham,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,1,Bryce Miller,682243,R,53.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.4,37.3,38.2,88.7,80.0,60.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.26,45.56,90.82,100.8753,0.4581,0.2094,0.3497,70.72,8.88,46.47,30.35,19.3,0.194,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
39,671277,Luis Garcia,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,4,Bryce Miller,682243,R,53.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.0,37.3,38.2,90.4,80.0,39.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.31,46.01,91.18,101.8761,0.4945,0.2079,0.3495,73.59,38.43,41.43,22.05,21.6,0.2391,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
40,678246,Miguel Vargas,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,3,Rhett Lowder,695076,R,53.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",54.0,50.6,27.6,92.1,50.0,30.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.76,44.35,90.33,100.4804,0.4812,0.2277,0.3624,73.05,34.35,43.23,36.36,22.3,0.216,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
41,521692,Salvador Perez,KC,LAD,2026-08-13T02:10:00Z,Scheduled,4,Eric Lauer,641778,L,52.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.5,56.3,27.6,90.4,78.0,12.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.09,43.48,89.23,100.6467,0.4472,0.2058,0.315,71.99,22.0,41.84,30.99,20.2,0.1715,10.41,37.42,89.06,0.4596,0.2077,36.9,,,UNIQLO Field at Dodger Stadium,
42,673548,Seiya Suzuki,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,2,Jackson Kent,800600,L,52.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",47.2,41.2,28.2,95.5,78.0,54.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.26,42.05,89.62,101.2548,0.4468,0.1984,0.3408,73.3,36.83,42.25,30.78,23.6,0.2155,,,,,,,,,Nationals Park,
43,682987,Spencer Jones,NYY,SEA,2026-08-12T23:05:00Z,Scheduled,6,Bryce Miller,682243,R,52.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",63.1,37.3,38.2,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,0,"Last 7 games: 2/23, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",EV profile; pitcher allows elevated contact,12.5,57.7,94.0,103.5388,0.421,0.201,0.318,77.7,78.3,29.2,37.5,5.0,0.175,7.51,36.14,88.62,0.3804,0.1533,31.93,,,Yankee Stadium,
44,677594,Julio Rodriguez,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,4,Will Warren,701542,R,52.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",46.3,47.2,38.2,90.4,50.0,62.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,44.43,90.47,102.7524,0.472,0.1971,0.3489,76.61,67.06,38.28,26.33,22.2,0.1776,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
45,686948,Drake Baldwin,ATL,NYM,2026-08-12T23:15:00Z,Scheduled,2,Zac Thornton,804267,L,52.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",57.4,42.0,30.9,95.5,50.0,22.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.96,51.0,91.7,102.3423,0.4947,0.2185,0.3684,75.16,54.48,31.66,24.41,19.7,0.1845,8.8,39.8,89.3,0.423,0.155,29.2,,,Truist Park,
46,663728,Cal Raleigh,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,6,Will Warren,701542,R,52.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",54.8,45.4,38.2,71.7,75.0,19.9,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","switch hitter; pitcher baseline 8.4% barrel, 17.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.95,39.03,89.69,100.6815,0.4224,0.2285,0.3157,75.06,52.81,53.8,41.94,26.4,0.2006,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
47,596019,Francisco Lindor,NYM,ATL,2026-08-12T23:15:00Z,Scheduled,2,Tyler Mahle,641816,R,52.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",47.6,35.7,30.9,95.5,75.0,66.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.3% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.53,47.97,91.2,100.3928,0.4624,0.2024,0.3513,72.02,22.46,45.46,29.88,17.0,0.1955,7.3,36.89,89.48,0.3948,0.1502,27.68,,,Truist Park,
48,665487,Fernando Tatis,SD,MIL,2026-08-12T20:10:00Z,Scheduled,1,Dustin May,669160,R,52.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",53.4,42.2,22.6,88.7,50.0,79.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 7.5% barrel, 11.9 HR allowed",EV profile; pitcher fly-ball pressure modest,11.35,52.5,92.67,104.275,0.4684,0.1855,0.3644,75.51,57.91,34.52,22.01,15.9,0.1507,7.52,45.34,90.25,0.3992,0.1476,24.52,,,Petco Park,
49,668709,JJ Bleday,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,3,Luis Castillo,622491,R,51.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",40.5,53.9,27.6,92.1,80.0,26.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.76,40.24,88.7,99.9474,0.4199,0.1872,0.3341,73.21,29.4,45.6,33.34,18.2,0.2207,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
50,553993,Eugenio Suarez,CIN,CWS,2026-08-12T23:40:00Z,Scheduled,5,Luis Castillo,622491,R,51.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",44.1,53.9,27.6,81.9,50.0,79.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.18,39.13,89.15,100.229,0.386,0.1876,0.2899,71.88,20.76,48.87,34.11,26.6,0.2364,9.91,42.9,90.16,0.4418,0.18,28.07,,,Rate Field,
51,683002,Gunnar Henderson,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,1,Zebby Matthews,805673,R,51.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.8,56.3,27.1,88.7,80.0,27.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.83,46.75,90.49,101.5217,0.4047,0.1546,0.3221,74.67,46.96,41.64,24.08,18.4,0.1724,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
52,665019,Kody Clemens,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,4,Shane Baz,669358,R,51.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",51.2,40.3,27.1,90.4,80.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,1,"Last 7 games: 3/27, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.72,46.41,92.13,101.4204,0.444,0.2006,0.3247,71.99,14.42,45.45,33.04,19.7,0.2287,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
53,605137,Josh Bell,MIN,BAL,2026-08-12T17:40:00Z,Scheduled,3,Shane Baz,669358,R,51.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.7,38.8,27.1,92.1,75.0,64.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 7.5% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.84,43.36,90.12,100.9232,0.4549,0.2045,0.3366,72.33,28.29,40.87,27.06,17.8,0.1751,7.47,41.36,89.98,0.3951,0.1483,24.94,,,Target Field,
54,666176,Jo Adell,CLE,DET,2026-08-12T22:40:00Z,Scheduled,4,Framber Valdez,664285,L,51.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.1,35.3,27.6,90.4,78.0,25.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 6.3% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.56,46.01,90.51,102.6747,0.4762,0.219,0.3398,77.39,71.41,37.23,27.84,23.0,0.186,6.28,43.99,90.1,0.3833,0.1325,19.23,,,Comerica Park,
55,683748,Victor Mesa,TB,ATH,2026-08-12T19:05:00Z,Scheduled,6,Jack Perkins,678022,R,50.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",46.3,42.9,30.9,71.7,80.0,56.2,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.37,41.15,89.91,100.2442,0.4325,0.1998,0.3242,73.58,31.9,43.39,33.28,7.3,0.2183,9.67,37.56,88.01,0.3832,0.1566,34.52,,,Sutter Health Park,
56,691016,Tyler Soderstrom,ATH,TB,2026-08-12T19:05:00Z,Scheduled,2,Drew Rasmussen,656876,R,50.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.3,29.4,30.9,95.5,80.0,60.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.21,47.0,90.97,102.1382,0.4269,0.175,0.334,74.25,42.67,36.91,26.09,20.8,0.2197,6.58,36.09,88.71,0.3561,0.1271,22.96,,,Sutter Health Park,
57,665953,Andres Chaparro,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,2,David Peterson,656849,L,50.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",47.2,37.4,28.2,95.5,78.0,23.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,0,"Last 7 games: 5/18, 0 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.94,45.85,88.45,100.9985,0.4314,0.2079,0.3329,74.21,42.79,48.52,28.05,4.5,0.2048,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
58,575929,Willson Contreras,BOS,TOR,2026-08-12T23:07:00Z,Scheduled,4,José Soriano,667755,R,50.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",58.9,36.4,30.4,90.4,50.0,7.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.04,46.55,90.53,103.022,0.4971,0.2366,0.3755,76.77,68.66,44.21,29.33,22.1,0.2271,7.62,41.27,89.65,0.3782,0.1362,18.82,,,Rogers Centre,
59,805811,Bryce Eldridge,SF,HOU,2026-08-12T19:45:00Z,Scheduled,1,Bryan King,687911,L,50.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.0,24.9,19.3,88.7,50.0,30.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 5.9% barrel, 7.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.9,56.34,93.01,103.1217,0.4764,0.2498,0.3531,73.07,29.06,39.32,38.31,8.4,0.1518,5.87,36.73,87.56,0.372,0.1294,20.12,,,Oracle Park,
60,687263,Zach Neto,LAA,TEX,2026-08-13T02:10:00Z,Scheduled,4,Cal Quantrill,615698,R,49.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",47.3,48.5,28.2,90.4,50.0,24.5,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,1,"Last 7 games: 5/31, 1 HR","same-side matchup; pitcher baseline 9.5% barrel, 12.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.39,42.05,89.88,100.1558,0.4208,0.2062,0.3111,71.26,13.48,47.13,35.38,21.8,0.1988,9.49,37.16,88.86,0.4547,0.1926,29.78,,,Angel Stadium,
61,668227,Randy Arozarena,SEA,NYY,2026-08-12T23:05:00Z,Scheduled,2,Will Warren,701542,R,49.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.1,47.2,38.2,95.5,50.0,28.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","same-side matchup; pitcher baseline 8.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.98,45.21,91.09,101.0852,0.4226,0.1683,0.3431,71.32,24.59,33.28,23.54,18.6,0.1768,8.45,43.27,90.72,0.4225,0.1603,23.47,,,Yankee Stadium,
62,679529,Spencer Torkelson,DET,CLE,2026-08-12T22:40:00Z,Scheduled,6,Foster Griffin,656492,L,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.8,42.9,27.6,71.7,78.0,32.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,0,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 21.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.15,42.58,89.71,100.2855,0.4287,0.2041,0.3249,73.14,26.16,47.98,36.11,23.3,0.202,9.2,37.6,87.9,0.411,0.161,25.8,,,Comerica Park,
63,664023,Ian Happ,CHC,WSH,2026-08-12T22:45:00Z,Scheduled,5,Jackson Kent,800600,L,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.1,40.2,28.2,81.9,75.0,56.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,42.86,89.51,100.8627,0.4115,0.1951,0.3239,71.88,18.92,43.77,33.02,20.9,0.1952,,,,,,,,,Nationals Park,
64,691723,Coby Mayo,BAL,MIN,2026-08-12T17:40:00Z,Scheduled,7,Zebby Matthews,805673,R,49.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",47.7,56.3,27.1,59.8,50.0,57.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,1,Contact streak: 8/21 over last 7 games,"same-side matchup; pitcher baseline 11.6% barrel, 15.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.15,44.47,90.8,102.5612,0.398,0.1859,0.2981,75.33,54.04,49.9,34.32,13.8,0.2067,11.58,40.06,90.11,0.4463,0.1872,27.66,,,Target Field,
65,643217,Andrew Benintendi,CWS,CIN,2026-08-12T23:40:00Z,Scheduled,5,Rhett Lowder,695076,R,49.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",37.8,50.6,27.6,81.9,80.0,33.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.56,42.64,88.56,98.7351,0.4188,0.176,0.3165,69.54,4.15,50.24,31.78,14.4,0.1854,9.5,38.2,90.5,0.457,0.19,28.3,,,Rate Field,
66,691781,Brady House,WSH,CHC,2026-08-12T22:45:00Z,Scheduled,3,David Peterson,656849,L,49.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",41.7,37.4,28.2,92.1,78.0,43.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,1,"Last 7 games: 6/21, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.69,46.72,89.59,101.8713,0.4288,0.1665,0.3197,73.31,31.37,33.73,26.28,6.8,0.1412,6.68,42.85,89.76,0.4182,0.1454,19.71,,,Nationals Park,
