rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
34,500743,Miguel Rojas,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,6,Shane Drohan,675660,L,42.5,Longshot,Watch List,Platoon Edge,19.2,35.4,56.1,76.2,78.0,32.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,0,Contact streak: 6/18 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.29,35.54,87.32,98.1514,0.3937,0.1146,0.3154,68.94,5.56,36.57,21.35,4.2,0.1294,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
35,687093,Vaughn Grissom,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,5,Jacob deGrom,594798,R,42.1,Longshot,Watch List,Projected Lineup,28.0,50.8,28.2,81.9,50.0,9.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,38.7,88.2,99.3512,0.394,0.139,0.318,71.6,19.6,40.9,25.8,7.0,0.136,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
36,666139,Josh Lowe,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,8,Jacob deGrom,594798,R,41.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.6,50.8,28.2,47.9,80.0,0.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,16,0,"Last 7 games: 2/16, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.93,38.83,89.02,99.4278,0.3868,0.1618,0.2945,73.66,36.78,36.76,31.15,8.9,0.1404,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
37,701785,Kaelen Culpepper,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,9,Aaron Nola,605400,R,41.1,Longshot,Watch List,Strong Barrel,32.4,50.3,42.6,44.8,50.0,23.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,2,13,1,"Last 4 games: 2/13, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.5,37.5,88.6,97.0255,0.239,0.105,0.257,73.8,32.0,62.5,25.0,1.0,0.231,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
38,650333,Luis Arraez,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,4,Taj Bradley,671737,R,40.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",7.4,46.8,42.6,94.9,80.0,6.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,0,"Last 7 games: 5/31, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.96,19.08,86.66,94.0044,0.3693,0.0851,0.3023,62.99,0.12,30.45,28.38,5.9,0.114,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
39,686797,Brooks Lee,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,8,Aaron Nola,605400,R,40.7,Longshot,Watch List,Platoon Edge,18.3,49.0,42.6,52.4,75.0,48.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"switch hitter; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.33,33.74,87.97,97.4119,0.3425,0.1155,0.2771,69.92,8.35,42.34,27.95,16.7,0.1641,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
40,685133,Wade Meckler,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,1,Jacob deGrom,594798,R,40.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",10.3,50.8,28.2,88.7,80.0,24.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.6,29.5,85.9,96.0427,0.36,0.104,0.307,68.8,2.1,34.5,19.4,3.0,0.105,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
41,592663,J.T. Realmuto,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,8,Taj Bradley,671737,R,40.2,Longshot,Watch List,No major boost,31.4,46.8,42.6,52.4,50.0,7.9,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,0,"Last 7 games: 5/29, 0 HR","same-side matchup; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.0,42.28,89.86,100.2154,0.3956,0.1398,0.3188,72.91,32.71,41.18,25.52,9.2,0.127,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
42,666152,David Hamilton,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,8,Roki Sasaki,808963,R,39.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",10.3,54.8,56.1,47.9,80.0,10.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.32,26.89,86.53,96.6525,0.2994,0.0939,0.2628,69.73,7.15,34.69,26.02,3.9,0.1021,10.68,43.51,90.04,0.4223,0.1845,28.42,Varies,84,UNIQLO Field at Dodger Stadium,
43,694671,Wyatt Langford,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,2,Walbert Ureña,700712,R,38.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.2,13.5,28.2,95.5,50.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.8,40.98,89.93,100.7005,0.4088,0.1757,0.3152,72.75,25.75,42.19,29.41,15.7,0.2054,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
44,694203,Denzer Guzman,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,7,Jacob deGrom,594798,R,38.2,Longshot,Watch List,Projected Lineup,25.7,50.8,28.2,59.8,50.0,9.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,11,0,"Last 7 games: 2/11, 0 HR","same-side matchup; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.07,36.81,87.2,98.3737,0.3321,0.1183,0.2574,73.36,33.31,42.21,26.36,4.1,0.1341,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
45,669394,Jake Burger,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,6,Walbert Ureña,700712,R,38.0,Longshot,Watch List,"Projected Lineup, Strong Barrel",47.4,13.5,28.2,71.7,50.0,7.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.59,47.1,89.98,102.6053,0.4157,0.1823,0.3051,75.37,58.14,42.23,27.76,18.1,0.1767,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
46,687401,Joey Ortiz,MIL,LAD,2026-08-14T02:10:00Z,Pre-Game,9,Roki Sasaki,808963,R,37.9,Longshot,Watch List,Projected Lineup,15.3,54.8,56.1,40.2,50.0,22.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,0,"Last 7 games: 4/15, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.91,34.06,87.07,98.5898,0.3375,0.0953,0.2918,72.72,28.33,31.77,21.08,5.6,0.1066,10.68,43.51,90.04,0.4223,0.1845,28.42,Varies,84,UNIQLO Field at Dodger Stadium,
47,807712,Luke Keaschall,MIN,PHI,2026-08-13T23:30:00Z,Pre-Game,7,Aaron Nola,605400,R,36.6,Longshot,Watch List,No major boost,10.9,50.3,42.6,64.3,50.0,21.1,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 25.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.8,29.38,85.08,96.5828,0.3528,0.1083,0.3128,68.64,7.8,39.03,26.83,5.4,0.1094,9.73,42.04,88.91,0.4233,0.178,27.88,In From CF,76,Field of Dreams,
48,702222,Justin Crawford,PHI,MIN,2026-08-13T23:30:00Z,Pre-Game,9,Taj Bradley,671737,R,35.8,Longshot,Watch List,Platoon Edge,10.5,46.8,42.6,44.8,80.0,24.9,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.5,34.7,87.2,98.147,0.322,0.063,0.284,69.0,5.5,27.6,17.2,2.0,0.089,8.59,43.75,90.39,0.3854,0.1561,28.77,In From CF,76,Field of Dreams,
49,694497,Evan Carter,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,5,Walbert Ureña,700712,R,33.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.4,13.5,28.2,81.9,80.0,0.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,0,"Last 7 games: 1/17, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.69,35.86,87.33,98.6944,0.3348,0.1225,0.2947,71.02,17.86,38.98,27.98,7.1,0.1345,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
50,666163,Ben Rortvedt,LAD,MIL,2026-08-14T02:10:00Z,Pre-Game,9,Shane Drohan,675660,L,29.0,Longshot,Watch List,No major boost,2.8,35.4,56.1,44.8,50.0,7.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,1,6,0,"Last 5 games: 1/6, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.99,5.88,85.33,92.5102,0.2782,0.0389,0.2428,68.07,1.47,47.39,6.21,0.3,0.0159,8.7,37.2,88.0,0.362,0.132,29.3,Varies,84,UNIQLO Field at Dodger Stadium,
51,623168,Tyler Heineman,LAA,TEX,2026-08-14T02:07:00Z,Scheduled,9,Jacob deGrom,594798,R,28.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",0.3,48.7,28.2,40.2,75.0,5.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","switch hitter; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.59,14.98,82.09,92.4554,0.2776,0.0559,0.2541,65.68,0.21,44.69,21.68,1.6,0.0773,9.09,44.42,90.52,0.3966,0.1679,29.88,,,Angel Stadium,
52,553869,Elias Diaz,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,8,Walbert Ureña,700712,R,27.9,Longshot,Watch List,Projected Lineup,26.1,13.5,28.2,47.9,50.0,13.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.55,37.37,87.28,99.6253,0.348,0.1278,0.2631,74.41,45.33,38.0,28.78,6.2,0.155,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
53,677649,Ezequiel Duran,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,7,Walbert Ureña,700712,R,26.9,Longshot,Watch List,Projected Lineup,19.7,13.5,28.2,59.8,50.0,0.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.19,34.54,87.61,98.6961,0.3517,0.1146,0.2855,72.34,24.38,35.24,21.23,9.1,0.1418,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
54,670032,Nicky Lopez,TEX,LAA,2026-08-14T02:07:00Z,Scheduled,9,Walbert Ureña,700712,R,21.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",2.0,13.5,28.2,40.2,80.0,10.1,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,27.19,84.52,95.2048,0.2599,0.0398,0.2519,66.65,0.75,33.94,11.09,0.7,0.0301,4.7,33.3,86.9,0.299,0.097,22.1,,,Angel Stadium,
