rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
102,660821,Jesús Sánchez,TOR,HOU,2026-08-05T18:10:00Z,Warmup,3,Hunter Brown,686613,R,48.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.1,24.1,41.6,96.6,80.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,17,0,"Last 7 games: 2/17, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.61,45.22,90.88,102.0336,0.4494,0.1839,0.3293,74.4,48.94,34.87,24.37,9.1,0.1573,6.46,36.33,86.59,0.3355,0.1304,23.16,None,73,Daikin Park,
103,514888,Jose Altuve,HOU,TOR,2026-08-05T18:10:00Z,Warmup,3,Jameson Taillon,592791,R,47.8,Longshot,Watch List,Premium Lineup Spot,14.5,69.6,41.6,96.6,50.0,40.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,28,0,Contact streak: 11/28 over last 7 games,"same-side matchup; pitcher baseline 13.4% barrel, 24.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.43,31.74,85.38,97.0853,0.3455,0.1183,0.2825,69.0,9.57,45.15,22.09,16.2,0.1567,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
104,668804,Bryan Reynolds,PIT,MIL,2026-08-05T23:40:00Z,Scheduled,3,Kyle Harrison,690986,L,47.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",46.1,32.5,27.6,92.1,75.0,19.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.87,46.28,90.92,101.878,0.4386,0.1876,0.3478,72.62,28.37,40.22,25.46,15.3,0.171,6.59,38.43,89.65,0.3663,0.1364,28.93,,,American Family Field,
105,664040,Brandon Lowe,PIT,MIL,2026-08-05T23:40:00Z,Scheduled,5,Kyle Harrison,690986,L,47.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",52.3,33.4,27.6,81.9,50.0,46.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.37,45.69,91.03,101.5145,0.457,0.2079,0.3343,73.73,40.3,47.28,32.64,25.4,0.2266,6.59,38.43,89.65,0.3663,0.1364,28.93,,,American Family Field,
106,694192,Jackson Chourio,MIL,PIT,2026-08-05T23:40:00Z,Scheduled,2,Paul Skenes,694973,R,47.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",50.1,28.1,27.6,95.5,50.0,46.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.87,45.38,91.19,102.036,0.4512,0.2,0.3252,74.25,44.24,31.29,27.03,16.1,0.1895,6.64,39.12,88.09,0.3273,0.1204,23.92,,,American Family Field,
107,701538,Jackson Merrill,SD,AZ,2026-08-06T01:40:00Z,Scheduled,5,Mitch Bratt,683352,L,47.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",47.6,38.2,28.2,81.9,50.0,50.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.32,45.35,89.91,100.5032,0.4599,0.2025,0.3302,72.88,27.19,37.56,28.59,16.0,0.1685,8.6,37.1,87.7,0.405,0.168,30.0,,,Chase Field,
108,663538,Nico Hoerner,CHC,LAD,2026-08-05T18:20:00Z,Warmup,6,Eric Lauer,641778,L,47.5,Longshot,Watch List,Platoon Edge,8.9,54.1,69.8,76.2,78.0,68.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.56,28.97,86.28,96.2658,0.3805,0.0843,0.3248,68.33,1.83,33.78,21.91,7.0,0.1012,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
109,679529,Spencer Torkelson,DET,SEA,2026-08-06T01:40:00Z,Scheduled,6,Bryan Woo,693433,R,47.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",49.8,40.5,25.4,71.7,50.0,58.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,31,1,Contact streak: 12/31 over last 7 games,"same-side matchup; pitcher baseline 7.4% barrel, 16.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.22,42.58,89.78,100.3127,0.4238,0.2027,0.3207,73.14,26.09,47.98,36.74,23.3,0.2083,7.42,42.29,89.38,0.3807,0.1478,28.06,,,T-Mobile Park,
110,641680,Jonah Heim,ATH,CIN,2026-08-05T22:40:00Z,Scheduled,4,Rhett Lowder,695076,R,47.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",24.8,49.4,39.3,90.4,75.0,39.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","switch hitter; pitcher baseline 9.4% barrel, 10.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,33.1,87.54,97.9457,0.3845,0.148,0.2977,69.91,10.22,41.05,28.18,11.0,0.1764,9.4,39.0,90.8,0.453,0.186,28.4,,,Great American Ball Park,
111,681082,Bryson Stott,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,7,Jake Irvin,663623,R,47.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",27.8,68.5,34.3,59.8,80.0,19.5,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,0,"Last 7 games: 5/20, 0 HR","platoon edge; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.36,36.85,88.93,98.6909,0.4035,0.1432,0.3214,69.79,6.82,35.64,28.99,9.5,0.1487,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
112,805808,Kevin McGonigle,DET,SEA,2026-08-06T01:40:00Z,Scheduled,1,Bryan Woo,693433,R,47.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",32.4,40.5,25.4,88.7,80.0,68.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 16.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.2,36.8,88.0,98.3279,0.432,0.166,0.357,71.2,17.4,37.2,35.5,11.0,0.143,7.42,42.29,89.38,0.3807,0.1478,28.06,,,T-Mobile Park,
113,666397,Edouard Julien,COL,TB,2026-08-05T19:10:00Z,Pre-Game,7,Nick Martinez,607259,R,46.6,Longshot,Watch List,Platoon Edge,37.7,36.4,61.7,64.3,80.0,0.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","platoon edge; pitcher baseline 7.3% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.42,47.69,90.39,100.2397,0.4079,0.1617,0.336,71.11,12.14,35.23,19.65,3.0,0.0921,7.28,33.17,87.32,0.4345,0.1628,28.54,Varies,77,Coors Field,
114,676724,Jared Young,NYM,CLE,2026-08-05T22:40:00Z,Scheduled,6,Tanner Bibee,676440,R,46.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.9,43.8,27.6,71.7,80.0,10.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.73,45.53,88.73,101.3752,0.4182,0.1885,0.317,73.44,34.65,39.09,25.62,6.1,0.2075,8.31,38.63,89.13,0.4137,0.1646,27.27,,,Progressive Field,
115,641857,Ryan McMahon,NYY,STL,2026-08-05T23:05:00Z,Scheduled,7,Andre Pallante,669467,R,46.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",50.5,27.7,38.2,59.8,80.0,37.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.19,50.36,91.9,102.3556,0.412,0.1793,0.3122,74.49,46.97,40.29,31.68,13.0,0.1628,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
116,805999,A.J. Ewing,NYM,CLE,2026-08-05T22:40:00Z,Scheduled,1,Tanner Bibee,676440,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",33.1,43.8,27.6,88.7,80.0,23.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 22.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,43.3,89.6,100.3792,0.408,0.148,0.324,70.2,10.4,33.0,24.2,7.0,0.137,8.31,38.63,89.13,0.4137,0.1646,27.27,,,Progressive Field,
117,677594,Julio Rodriguez,SEA,DET,2026-08-06T01:40:00Z,Scheduled,4,Drew Anderson,623454,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",45.7,34.9,25.4,90.4,50.0,39.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.89,44.22,90.47,102.7276,0.4692,0.1957,0.3468,76.61,66.64,37.93,26.05,20.8,0.1727,7.7,39.4,90.4,0.342,0.132,23.5,,,T-Mobile Park,
118,699625,Jimmy Crooks,STL,NYY,2026-08-05T23:05:00Z,Scheduled,9,Will Warren,701542,R,46.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",47.1,46.0,38.2,40.2,80.0,24.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 17.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,9.48,49.17,91.84,101.3032,0.3911,0.1844,0.286,71.45,16.47,33.92,39.69,3.1,0.1474,8.24,42.85,90.58,0.4183,0.1589,23.68,,,Yankee Stadium,
119,543807,George Springer,TOR,HOU,2026-08-05T18:10:00Z,Warmup,4,Hunter Brown,686613,R,46.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",42.3,24.1,41.6,94.9,50.0,48.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 9.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.11,42.42,89.23,100.442,0.4415,0.1904,0.3389,73.24,35.02,41.72,27.56,18.0,0.1929,6.46,36.33,86.59,0.3355,0.1304,23.16,None,73,Daikin Park,
120,690993,Colt Keith,DET,SEA,2026-08-06T01:40:00Z,Scheduled,5,Bryan Woo,693433,R,46.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.6,40.5,25.4,81.9,80.0,45.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,17,0,Contact streak: 10/17 over last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.08,41.25,88.95,99.9593,0.4342,0.1674,0.3312,71.54,15.99,37.31,27.49,9.5,0.1528,7.42,42.29,89.38,0.3807,0.1478,28.06,,,T-Mobile Park,
121,687093,Vaughn Grissom,LAA,BAL,2026-08-05T22:35:00Z,Scheduled,4,Trevor Rogers,669432,L,46.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",31.4,35.8,32.1,90.4,78.0,52.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 8.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,41.0,89.0,99.7602,0.409,0.148,0.329,71.7,20.4,41.0,26.3,7.0,0.147,6.83,42.03,89.28,0.3872,0.1433,24.81,,,Oriole Park at Camden Yards,
122,650333,Luis Arraez,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,2,Jake Irvin,663623,R,45.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",7.1,68.5,34.3,95.5,80.0,28.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,0,"Last 7 games: 9/29, 0 HR","platoon edge; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,0.82,19.08,86.73,94.0195,0.3693,0.083,0.3037,62.99,0.12,30.24,27.19,5.2,0.1126,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
123,671056,Ivan Herrera,STL,NYY,2026-08-05T23:05:00Z,Scheduled,4,Will Warren,701542,R,45.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.7,46.0,38.2,90.4,50.0,14.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.11,42.24,89.8,101.2079,0.4065,0.1534,0.3421,74.02,44.12,37.1,19.03,14.1,0.1471,8.24,42.85,90.58,0.4183,0.1589,23.68,,,Yankee Stadium,
124,671218,Heliot Ramos,NYY,STL,2026-08-05T23:05:00Z,Scheduled,5,Andre Pallante,669467,R,45.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",49.0,27.7,38.2,81.9,50.0,24.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","same-side matchup; pitcher baseline 6.0% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.09,47.89,91.87,102.7562,0.438,0.1834,0.3207,72.78,30.02,34.29,22.6,12.6,0.1538,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
125,573262,Mike Yastrzemski,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,7,Eury Pérez,691587,R,45.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.0,46.2,30.9,59.8,80.0,58.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.45,43.51,90.45,99.7768,0.377,0.1456,0.3108,71.24,8.02,45.2,32.17,10.7,0.1581,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
126,663586,Austin Riley,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,8,Eury Pérez,691587,R,45.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.3,46.2,30.9,47.9,50.0,39.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","same-side matchup; pitcher baseline 9.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.4,46.14,91.39,102.8146,0.4097,0.19,0.3062,75.83,59.22,39.94,31.29,13.9,0.1484,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
127,669003,Garrett Mitchell,MIL,PIT,2026-08-05T23:40:00Z,Scheduled,5,Paul Skenes,694973,R,45.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.1,28.1,27.6,81.9,80.0,0.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 6.6% barrel, 12.4 HR allowed",EV profile; pitcher fly-ball pressure modest,11.88,47.66,92.01,103.5695,0.418,0.1687,0.3328,77.08,76.67,33.09,17.9,5.6,0.1412,6.64,39.12,88.09,0.3273,0.1204,23.92,,,American Family Field,
128,664954,Brett Sullivan,COL,TB,2026-08-05T19:10:00Z,Pre-Game,9,Nick Martinez,607259,R,45.6,Longshot,Watch List,Platoon Edge,38.2,36.4,61.7,44.8,80.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,0,Contact streak: 6/18 over last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.32,51.56,90.16,97.6257,0.3351,0.1402,0.2921,68.6,4.69,52.66,34.18,2.8,0.1197,7.28,33.17,87.32,0.4345,0.1628,28.54,Varies,77,Coors Field,
129,668930,Brice Turang,MIL,PIT,2026-08-05T23:40:00Z,Scheduled,1,Paul Skenes,694973,R,45.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.5,28.1,27.6,88.7,80.0,46.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.14,43.76,90.68,100.4644,0.4381,0.1789,0.3434,70.25,13.06,27.23,24.13,16.6,0.1764,6.64,39.12,88.09,0.3273,0.1204,23.92,,,American Family Field,
130,691720,Kyle Karros,COL,TB,2026-08-05T19:10:00Z,Pre-Game,4,Nick Martinez,607259,R,45.3,Longshot,Watch List,Premium Lineup Spot,24.0,36.4,61.7,94.9,50.0,32.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,0,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 7.3% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.76,39.65,89.09,99.6235,0.3579,0.1173,0.3133,69.87,5.37,39.43,23.15,6.6,0.1266,7.28,33.17,87.32,0.4345,0.1628,28.54,Varies,77,Coors Field,
131,677588,Jose Tena,WSH,PHI,2026-08-05T22:40:00Z,Scheduled,6,Andrew Painter,691725,R,45.3,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.0,46.5,34.3,71.7,80.0,10.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.26,46.66,90.81,101.9645,0.3724,0.1322,0.302,72.94,33.18,31.72,17.29,3.5,0.1379,9.4,36.5,87.4,0.465,0.194,28.3,,,Citizens Bank Park,
132,668227,Randy Arozarena,SEA,DET,2026-08-06T01:40:00Z,Scheduled,2,Drew Anderson,623454,R,45.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.3,34.9,25.4,95.5,50.0,39.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.12,45.28,91.16,101.0893,0.4219,0.1683,0.3438,71.32,24.73,33.14,23.12,17.9,0.1768,7.7,39.4,90.4,0.342,0.132,23.5,,,T-Mobile Park,
133,678882,Ceddanne Rafaela,BOS,CWS,2026-08-05T23:10:00Z,Scheduled,2,Sean Burke,680732,R,45.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",23.6,42.7,28.7,95.5,50.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,30,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.82,34.92,87.11,97.9793,0.381,0.1341,0.2938,70.09,9.18,35.92,26.07,15.3,0.1818,8.61,38.08,89.11,0.3891,0.1599,30.91,,,Fenway Park,
134,665862,Jazz Chisholm,NYY,STL,2026-08-05T23:05:00Z,Scheduled,6,Andre Pallante,669467,R,45.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.1,27.7,38.2,71.7,80.0,18.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 6.0% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.01,42.53,90.33,100.6202,0.4033,0.1854,0.3061,73.41,34.21,53.17,29.63,21.2,0.2005,5.97,35.98,88.15,0.3817,0.1342,18.1,,,Yankee Stadium,
135,691788,Joe Mack,MIA,ATL,2026-08-05T23:15:00Z,Scheduled,8,Bryce Elder,693821,R,44.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.8,42.3,30.9,47.9,80.0,42.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,18,1,"Last 7 games: 5/18, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 20.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.2,41.5,88.9,100.2698,0.443,0.201,0.32,74.2,42.9,48.3,26.5,11.0,0.202,6.82,41.91,90.14,0.4116,0.1582,26.01,,,Truist Park,
136,663743,Nick Fortes,TB,COL,2026-08-05T19:10:00Z,Pre-Game,9,Tomoyuki Sugano,608372,R,44.8,Longshot,Watch List,Pitcher Vulnerable,14.0,74.6,61.7,44.8,50.0,45.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,19,0,Contact streak: 8/19 over last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.06,36.78,86.31,99.2321,0.3409,0.0965,0.2826,72.28,21.57,50.14,18.57,4.3,0.1116,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
