rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
92,666182,Bo Bichette,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,3,Aaron Nola,605400,R,44.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",33.0,47.7,24.8,92.1,50.0,15.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,0,"Last 7 games: 7/31, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.85,43.97,90.02,101.0909,0.4331,0.1503,0.3341,69.66,13.02,26.63,22.67,16.6,0.1412,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
93,686469,Vinnie Pasquantino,KC,HOU,2026-09-17T23:15:00Z,Scheduled,6,,,,44.1,Longshot,Watch List,Projected Lineup,40.5,41.2,27.6,71.7,60.0,25.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.33,42.53,90.2,100.2834,0.4301,0.1791,0.3298,71.17,15.45,44.4,29.77,18.0,0.1683,,,,,,,,,Daikin Park,
94,701358,Cam Smith,HOU,KC,2026-09-17T23:15:00Z,Scheduled,8,Seth Lugo,607625,R,44.0,Longshot,Watch List,Projected Lineup,40.9,52.8,27.6,47.9,50.0,49.9,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.91,42.97,88.6,101.3692,0.4117,0.1739,0.3145,76.88,68.74,37.42,24.79,16.7,0.1654,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
95,666139,Josh Lowe,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,7,Taj Bradley,671737,R,44.0,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.5,48.1,28.2,59.8,80.0,37.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,1,"Last 7 games: 4/16, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.86,37.92,88.67,99.2529,0.3737,0.1559,0.2898,73.38,34.26,35.64,30.38,11.7,0.1523,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
96,695657,Colson Montgomery,CWS,DET,2026-09-17T23:40:00Z,Scheduled,6,Framber Valdez,664285,L,43.9,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.5,34.5,27.6,71.7,50.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,18,0,"Last 7 games: 1/18, 0 HR","same-side matchup; pitcher baseline 5.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.17,42.54,88.98,101.873,0.4317,0.2199,0.3137,76.72,70.58,48.81,32.67,28.0,0.2389,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
97,670623,Isaac Paredes,HOU,KC,2026-09-17T23:15:00Z,Scheduled,3,Seth Lugo,607625,R,43.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",17.5,52.8,27.6,92.1,50.0,71.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.18,30.52,86.49,97.0449,0.3688,0.1285,0.3193,67.74,7.64,51.79,31.08,20.7,0.1823,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
98,682626,Francisco Alvarez,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,9,Aaron Nola,605400,R,43.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",54.2,47.7,24.8,40.2,50.0,4.2,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.41,48.98,91.21,102.9047,0.4293,0.2003,0.3232,74.11,42.11,37.89,24.68,13.8,0.1721,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
99,572233,Christian Walker,HOU,KC,2026-09-17T23:15:00Z,Scheduled,7,Seth Lugo,607625,R,43.1,Longshot,Watch List,"Projected Lineup, Strong Barrel",40.6,52.8,27.6,59.8,50.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,24,0,"Last 7 games: 1/24, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.17,41.9,89.43,101.3147,0.3993,0.1729,0.3042,74.31,43.41,41.99,27.86,25.6,0.1879,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
100,800325,Luis Lara,MIL,PIT,2026-09-17T16:35:00Z,Warmup,2,Wilber Dotel,696062,R,43.0,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",19.2,27.4,57.8,100.0,75.0,14.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","switch hitter; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.9,43.3,88.6,99.2401,0.34,0.078,0.3,71.5,18.5,29.1,15.7,1.0,0.091,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
101,693304,Nick Gonzales,PIT,MIL,2026-09-17T16:35:00Z,Warmup,6,Kyle Harrison,690986,L,42.9,Longshot,Watch List,Platoon Edge,16.2,41.5,57.8,76.2,78.0,24.9,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.45,35.51,86.98,98.1575,0.3813,0.107,0.3162,70.71,12.45,36.73,21.26,5.7,0.0922,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
102,694671,Wyatt Langford,TEX,BOS,2026-09-18T00:05:00Z,Scheduled,6,Sonny Gray,543243,R,42.1,Longshot,Watch List,Projected Lineup,39.3,38.6,27.6,71.7,50.0,24.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.38,40.21,89.65,100.3833,0.4102,0.1757,0.325,72.89,27.92,42.61,30.67,18.5,0.1935,7.7,39.37,89.18,0.3936,0.1439,22.85,,,Globe Life Field,
103,500743,Miguel Rojas,LAD,CIN,2026-09-17T16:40:00Z,Warmup,9,Brady Singer,663903,R,42.0,Longshot,Watch List,Good Environment,15.5,54.3,81.8,44.8,50.0,16.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,0,"Last 7 games: 3/13, 0 HR","same-side matchup; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.52,33.3,86.97,97.6501,0.372,0.1048,0.3004,68.73,5.0,36.57,22.75,4.2,0.1217,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
104,687093,Vaughn Grissom,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,4,Taj Bradley,671737,R,42.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",24.7,48.1,28.2,90.4,50.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.8,36.0,87.6,98.719,0.375,0.134,0.306,70.9,16.7,40.2,24.8,11.0,0.143,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
105,703601,Max Clark,DET,CWS,2026-09-17T23:40:00Z,Scheduled,6,Erick Fedde,607200,R,41.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.2,48.1,27.6,71.7,80.0,60.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,1,Contact streak: 10/25 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.9,39.1,87.4,98.3243,0.353,0.084,0.311,73.5,30.2,37.4,24.3,3.0,0.169,8.11,40.78,89.08,0.4477,0.186,29.4,,,Rate Field,
106,676356,Jonny DeLuca,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,5,Jeffrey Springs,605488,L,41.4,Longshot,Watch List,Platoon Edge,10.3,46.5,41.1,86.4,78.0,32.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,0,Contact streak: 6/18 over last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,2.93,30.26,85.53,97.4963,0.3325,0.0907,0.2663,72.75,28.52,45.95,22.62,6.3,0.1447,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
107,686668,Brenton Doyle,CWS,DET,2026-09-17T23:40:00Z,Scheduled,5,Framber Valdez,664285,L,40.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",25.4,34.5,27.6,81.9,78.0,32.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,12,0,Contact streak: 4/12 over last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.54,37.11,88.99,99.5938,0.3205,0.1119,0.2552,71.89,14.25,36.92,24.99,6.6,0.108,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
108,694203,Denzer Guzman,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,6,Taj Bradley,671737,R,40.9,Longshot,Watch List,Projected Lineup,24.5,48.1,28.2,71.7,50.0,50.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.42,37.23,86.57,98.6955,0.323,0.1127,0.249,73.5,36.04,40.46,23.42,5.5,0.1348,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
109,622268,Donovan Walton,ATH,TB,2026-09-17T17:10:00Z,Pre-Game,5,Drew Rasmussen,656876,R,40.8,Longshot,Watch List,Platoon Edge,16.3,29.6,41.1,86.4,80.0,56.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.36,34.56,88.89,97.442,0.3709,0.1075,0.3146,67.92,0.49,37.49,22.09,4.9,0.1267,6.09,37.35,88.99,0.3575,0.1257,23.17,None,72,Tropicana Field,
110,672580,Maikel Garcia,KC,HOU,2026-09-17T23:15:00Z,Scheduled,5,,,,40.7,Longshot,Watch List,Projected Lineup,26.6,41.2,27.6,81.9,60.0,20.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.9,42.09,90.32,100.5105,0.3891,0.1138,0.3224,71.83,18.43,34.81,21.04,6.9,0.1294,,,,,,,,,Daikin Park,
111,685133,Wade Meckler,LAA,MIN,2026-09-18T01:38:00Z,Scheduled,3,Taj Bradley,671737,R,40.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.1,48.1,28.2,92.1,80.0,15.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,0,"Last 7 games: 4/18, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.9,34.1,87.0,96.8089,0.354,0.096,0.313,69.0,2.4,33.7,19.0,3.0,0.089,8.73,43.61,90.39,0.3885,0.1592,29.12,,,Angel Stadium,
112,682927,Ronny Simon,PIT,MIL,2026-09-17T16:35:00Z,Warmup,7,Kyle Harrison,690986,L,40.4,Longshot,Watch List,Platoon Edge,13.9,39.8,57.8,64.3,75.0,37.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,19,0,Contact streak: 7/19 over last 7 games,"switch hitter; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.96,30.18,86.58,97.6588,0.3745,0.0981,0.3104,72.29,25.68,32.07,13.54,0.0,0.0495,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
113,643446,Jeff McNeil,ATH,TB,2026-09-17T17:10:00Z,Pre-Game,2,Drew Rasmussen,656876,R,39.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",12.6,29.6,41.1,100.0,80.0,24.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 6.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.79,31.08,86.78,96.6331,0.3747,0.1027,0.3111,69.37,5.72,43.56,23.89,9.2,0.1225,6.09,37.35,88.99,0.3575,0.1257,23.17,None,72,Tropicana Field,
114,663616,Trevor Larnach,MIN,LAA,2026-09-18T01:38:00Z,Scheduled,6,Walbert Ureña,700712,R,39.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.1,20.4,28.2,71.7,80.0,68.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.6% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.41,39.4,88.66,99.719,0.3967,0.1411,0.3243,72.17,23.11,43.25,24.26,14.2,0.1631,5.6,36.4,87.3,0.317,0.109,22.5,,,Angel Stadium,
115,664761,Alec Bohm,PHI,NYM,2026-09-17T23:15:00Z,Scheduled,5,Nolan McLean,690997,R,39.7,Longshot,Watch List,Projected Lineup,32.8,30.2,24.8,81.9,50.0,39.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,0,Contact streak: 8/21 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.06,44.51,90.66,100.4408,0.4137,0.146,0.3268,71.21,14.91,28.35,22.44,13.8,0.1353,7.16,38.22,88.38,0.3478,0.1246,21.35,,,Citi Field,
116,686681,Michael Massey,KC,HOU,2026-09-17T23:15:00Z,Scheduled,7,,,,39.6,Longshot,Watch List,Projected Lineup,27.3,41.2,27.6,59.8,60.0,55.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.12,38.18,88.9,98.7239,0.3936,0.1416,0.2958,71.43,12.12,49.01,30.38,9.3,0.1334,,,,,,,,,Daikin Park,
117,805367,Chase Meidroth,CWS,DET,2026-09-17T23:40:00Z,Scheduled,1,Framber Valdez,664285,L,39.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",12.8,34.5,27.6,88.7,78.0,66.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.56,34.98,87.64,97.4121,0.3386,0.0982,0.2979,67.05,1.25,38.05,20.54,11.3,0.1125,5.93,43.22,90.17,0.384,0.129,18.04,,,Rate Field,
118,680777,Ryan Jeffers,MIN,LAA,2026-09-18T01:38:00Z,Scheduled,4,Walbert Ureña,700712,R,39.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",39.7,20.4,28.2,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","same-side matchup; pitcher baseline 5.6% barrel, 9.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.59,41.12,88.95,100.8686,0.4287,0.1822,0.3419,73.14,36.89,37.46,28.03,12.5,0.1912,5.6,36.4,87.3,0.317,0.109,22.5,,,Angel Stadium,
119,687401,Joey Ortiz,MIL,PIT,2026-09-17T16:35:00Z,Warmup,6,Wilber Dotel,696062,R,39.3,Longshot,Watch List,No major boost,17.3,27.6,57.8,76.2,50.0,63.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,1,Contact streak: 11/24 over last 7 games,"same-side matchup; pitcher baseline 3.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.91,35.74,87.7,99.1128,0.3452,0.0995,0.2925,72.93,30.15,32.33,19.82,8.4,0.1213,3.0,46.0,90.7,0.355,0.106,27.0,Out To LF,75,PNC Park,
120,607208,Trea Turner,PHI,NYM,2026-09-17T23:15:00Z,Scheduled,2,Nolan McLean,690997,R,39.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",26.8,30.2,24.8,95.5,50.0,31.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","same-side matchup; pitcher baseline 7.2% barrel, 13.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.22,39.79,88.6,99.1867,0.3778,0.1288,0.3,71.45,18.51,35.17,25.27,17.8,0.1453,7.16,38.22,88.38,0.3478,0.1246,21.35,,,Citi Field,
121,514888,Jose Altuve,HOU,KC,2026-09-17T23:15:00Z,Scheduled,4,Seth Lugo,607625,R,39.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",13.6,52.8,27.6,90.4,50.0,15.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 21.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.01,31.25,85.31,96.9874,0.3427,0.1176,0.2797,69.0,9.71,45.08,23.28,18.3,0.1574,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
122,689414,Liam Hicks,TB,ATH,2026-09-17T17:10:00Z,Pre-Game,4,Jeffrey Springs,605488,L,39.1,Longshot,Watch List,Premium Lineup Spot,8.1,46.5,41.1,94.9,50.0,26.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,1,"Last 7 games: 3/17, 1 HR","same-side matchup; pitcher baseline 8.9% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.81,27.56,84.67,96.1649,0.3528,0.0997,0.3157,68.03,3.65,41.54,24.15,14.4,0.1382,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
123,669392,Samad Taylor,SD,COL,2026-09-17T19:10:00Z,Pre-Game,9,Tanner Gordon,685299,R,38.7,Longshot,Watch List,Good Environment,1.6,61.7,73.2,44.8,50.0,32.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,0,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.54,20.06,82.0,93.7504,0.3028,0.0612,0.2698,68.6,2.94,27.73,16.21,0.7,0.0504,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
124,668939,Adley Rutschman,BOS,TEX,2026-09-18T00:05:00Z,Scheduled,5,Tyler Alexander,641302,L,38.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.0,17.2,27.6,81.9,75.0,29.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","switch hitter; pitcher baseline 4.5% barrel, 4.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.08,39.02,88.98,99.2549,0.4128,0.162,0.3292,70.42,12.07,39.03,29.85,11.1,0.1691,4.5,34.56,87.1,0.3526,0.1097,24.23,,,Globe Life Field,
125,670770,TJ Friedl,CIN,LAD,2026-09-17T16:40:00Z,Warmup,9,Justin Wrobleski,680736,L,38.4,Longshot,Watch List,Good Environment,9.7,48.2,81.8,44.8,50.0,12.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,5,0,"Last 7 games: 1/5, 0 HR","same-side matchup; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.84,29.44,87.31,97.1536,0.2806,0.0809,0.2643,70.67,10.1,41.14,24.4,7.0,0.0946,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
126,543760,Marcus Semien,NYM,PHI,2026-09-17T23:15:00Z,Scheduled,6,Aaron Nola,605400,R,38.2,Longshot,Watch List,Projected Lineup,23.4,47.7,24.8,71.7,50.0,15.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.24,33.95,87.18,97.3982,0.3845,0.1404,0.3082,68.57,3.48,46.49,32.56,14.3,0.1277,9.31,41.27,88.77,0.4142,0.1724,27.46,,,Citi Field,
127,669707,Jared Triolo,PIT,MIL,2026-09-17T16:35:00Z,Warmup,8,Kyle Harrison,690986,L,38.0,Longshot,Watch List,Platoon Edge,14.3,41.5,57.8,52.4,78.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,12,0,"Last 7 games: 2/12, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 15.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.54,34.77,87.18,98.0098,0.3375,0.0964,0.2939,70.83,7.72,38.27,21.31,4.2,0.0863,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
