player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,public_attention,odds
Rafael Devers,SF,WSH,2,Richard Lovelady,L,L,9.9,0.179,91.9,102.661756512,.400,.182,.290,71.8,20.3,31.8,31.8,49.7,8,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Luis Arraez,SF,WSH,3,Richard Lovelady,L,L,0.4,0.108,87.4,94.376129669,.373,.080,.307,63,0,30.8,28.7,22.3,2,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Willy Adames,SF,WSH,4,Richard Lovelady,L,R,9.2,0.204,89,99.687024674,.411,.183,.300,72.2,24.9,48.4,33.2,42.4,11,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Jung Hoo Lee,SF,WSH,5,Richard Lovelady,L,L,2.5,0.122,87.9,96.775312551,.402,.091,.332,68.6,3.4,35.4,21.2,30.3,3,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Bryce Eldridge,SF,WSH,6,Richard Lovelady,L,L,9.8,0.159,92,102.628327419,.507,.213,.377,73.8,36,42.6,34.4,52.5,2,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Matt Chapman,SF,WSH,7,Richard Lovelady,L,R,5.5,0.124,87.7,99.700895824,.314,.101,.281,75.8,58.6,37.5,19,35.3,4,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Eric Haase,SF,WSH,8,Richard Lovelady,L,R,21.9,0.341,86.9,98.7345925,.518,.266,.349,72,14.5,37.5,25,34.4,4,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Drew Gilbert,SF,WSH,9,Richard Lovelady,L,L,3,0.138,84.6,96.647613061,.313,.092,.258,69.9,9,40.2,18.6,31.4,3,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Christian Yelich,MIL,ATH,1,Jeffrey Springs,L,L,6.7,0.161,88.4,99.870466136,.376,.152,.296,72.7,27.8,36,18,36,4,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Jackson Chourio,MIL,ATH,2,Jeffrey Springs,L,R,17.2,0.187,92.7,103.187761591,.497,.253,.344,74.8,51.6,27.6,33.3,49.4,4,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Brice Turang,MIL,ATH,3,Jeffrey Springs,L,L,8.2,0.199,91.3,101.271929873,.462,.198,.372,70.2,9.9,24.4,23.8,48.1,9,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
William Contreras,MIL,ATH,4,Jeffrey Springs,L,R,6.8,0.106,89.9,100.690447087,.433,.154,.335,73.3,35.9,38.8,24.3,41.7,5,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Jake Bauers,MIL,ATH,5,Jeffrey Springs,L,L,13.4,0.235,92.4,103.707532254,.485,.218,.365,77,75.4,41.3,27.3,54.5,11,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Andrew Vaughn,MIL,ATH,6,Jeffrey Springs,L,R,2.8,0.147,90.1,99.383079722,.402,.108,.337,69.2,6.8,33.3,19.4,44.4,1,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Garrett Mitchell,MIL,ATH,7,Jeffrey Springs,L,L,14.6,0.152,92.8,104.393618958,.406,.182,.334,76.7,73.8,31.3,18.8,51,3,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Luis Rengifo,MIL,ATH,8,Jeffrey Springs,L,S,5.1,0.052,87.5,97.830048961,.344,.091,.298,71,16.7,36.9,16.6,34.4,0,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Joey Ortiz,MIL,ATH,9,Jeffrey Springs,L,R,2.8,0.054,86.7,97.804178269,.292,.068,.298,72,20.4,30.6,24.1,33.3,1,9.4,36.3,87.7,.417,.178,32.1,14,14,14,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Shea Langeliers,ATH,MIL,1,Kyle Harrison,L,R,15,0.252,91.6,102.81116567,.541,.256,.380,75.2,53,39.4,31.1,44.6,16,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Nick Kurtz,ATH,MIL,2,Kyle Harrison,L,L,18.8,0.220,94.2,106.020995833,.511,.253,.399,78.1,80.3,32.6,28.5,57.6,12,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Colby Thomas,ATH,MIL,3,Kyle Harrison,L,R,11.4,0.171,91.3,101.442800588,.497,.259,.333,75.8,58.3,34.3,37.1,40,2,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Brent Rooker,ATH,MIL,4,Kyle Harrison,L,R,15.8,0.194,89.8,101.938254386,.447,.234,.320,74.1,41.6,39.1,40,42.6,10,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Max Muncy,ATH,MIL,5,Kyle Harrison,L,R,12.3,0.163,92.5,103.570102069,.391,.168,.303,74.6,54.3,47.4,26.3,56.1,2,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Tyler Soderstrom,ATH,MIL,6,Kyle Harrison,L,L,11.2,0.197,89.9,101.448474111,.418,.172,.330,74.2,41.8,37.2,30,43.9,8,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Henry Bolte,ATH,MIL,7,Kyle Harrison,L,R,0,0.059,91.6,104.31203913,.272,.063,.271,77,75.4,34,23.4,53.2,0,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Zack Gelof,ATH,MIL,8,Kyle Harrison,L,R,7.6,0.164,88.3,99.004106897,.385,.160,.291,73.7,31.7,41.2,24.4,39.5,6,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Alika Williams,ATH,MIL,9,Kyle Harrison,L,R,0,0.000,88.8,98.045148333,.166,.028,.158,68.3,2.6,25,16.7,41.7,0,5.1,28.5,88.6,.328,.095,26.3,4,4,4,Las Vegas Ballpark,100,90,17,Out To CF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
