rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
35,696100,Hunter Goodman,COL,SF,2026-07-05T20:00:00Z,Scheduled,3,Tyler Mahle,641816,R,57.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",61.8,39.9,38.7,92.1,50.0,92.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.98,46.69,91.29,102.9905,0.4751,0.2371,0.331,75.03,50.68,49.26,32.27,28.2,0.2833,8.21,36.4,89.2,0.4109,0.1614,28.24,,,Coors Field,
36,678246,Miguel Vargas,CWS,CLE,2026-07-05T18:00:00Z,Pre-Game,2,Tanner Bibee,676440,R,57.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",57.1,47.9,41.6,100.0,50.0,53.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 20.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.46,44.7,90.19,100.555,0.5106,0.2452,0.3792,73.12,34.8,42.67,36.15,18.8,0.2223,8.87,40.94,89.41,0.4228,0.1737,27.27,In From RF,82,Progressive Field,
37,681624,Andy Pages,LAD,SD,2026-07-05T23:20:00Z,Scheduled,2,JP Sears,676664,L,57.6,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",39.0,76.1,27.6,95.5,78.0,39.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 12.8% barrel, 11.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.61,42.24,88.95,100.146,0.4448,0.1791,0.3335,72.88,25.63,35.94,28.72,19.3,0.2002,12.83,44.86,90.46,0.5489,0.2582,44.02,,,UNIQLO Field at Dodger Stadium,
38,606192,Teoscar Hernandez,LAD,SD,2026-07-05T23:20:00Z,Scheduled,5,JP Sears,676664,L,57.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Platoon Edge",46.1,76.1,27.6,81.9,78.0,26.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 12.8% barrel, 11.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.01,45.82,90.27,101.0518,0.4396,0.1885,0.3293,72.41,25.19,34.29,29.31,13.1,0.1741,12.83,44.86,90.46,0.5489,0.2582,44.02,,,UNIQLO Field at Dodger Stadium,
39,669127,Shea Langeliers,ATH,MIA,2026-07-05T20:30:00Z,Scheduled,3,Eury Pérez,691587,R,57.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",57.2,59.6,30.9,92.1,50.0,39.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","same-side matchup; pitcher baseline 13.1% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.54,43.85,91.25,102.2637,0.5001,0.2351,0.3525,74.85,49.33,39.95,31.38,23.3,0.2387,13.06,41.88,89.1,0.4185,0.2043,31.43,,,Sutter Health Park,
40,682674,Victor Bericoto,SF,COL,2026-07-05T20:00:00Z,Scheduled,8,Tanner Gordon,685299,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",61.2,66.5,38.7,47.9,50.0,72.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.4% barrel, 9.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.7,52.9,89.9,101.0235,0.479,0.264,0.298,74.1,44.6,41.2,26.5,4.0,0.319,12.41,43.93,91.15,0.4901,0.2188,33.53,,,Coors Field,
41,686948,Drake Baldwin,ATL,NYM,2026-07-05T16:30:00Z,Pre-Game,1,Nolan McLean,690997,R,56.6,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",58.5,26.2,71.9,93.2,80.0,0.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,0,"Last 7 games: 3/28, 0 HR","platoon edge; pitcher baseline 6.9% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.36,48.76,91.28,102.462,0.4996,0.2283,0.3663,75.09,53.74,32.64,23.08,15.5,0.1922,6.88,37.52,87.82,0.3395,0.1222,20.37,Out To LF,84,Truist Park,
42,691723,Coby Mayo,BAL,CIN,2026-07-05T17:05:00Z,Pre-Game,5,Nick Lodolo,666157,L,56.6,Longshot,Watch List,"Good Environment, Platoon Edge",42.3,44.5,76.8,86.4,78.0,27.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 8.0% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.75,45.31,90.45,102.8564,0.363,0.16,0.2827,75.33,54.31,49.97,32.71,10.3,0.1794,7.99,39.17,89.78,0.4447,0.1757,26.75,Out To LF,83,Great American Ball Park,
43,676475,Alec Burleson,STL,CHC,2026-07-05T18:30:00Z,Pre-Game,3,Javier Assad,665871,R,56.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.5,43.2,42.8,96.6,80.0,30.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","platoon edge; pitcher baseline 6.7% barrel, 7.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.41,46.64,91.42,101.6416,0.5186,0.2305,0.3716,72.96,29.55,42.84,28.52,15.2,0.1865,6.65,47.12,89.9,0.4417,0.1663,25.94,In From LF,70,Wrigley Field,
44,691023,Jordan Walker,STL,CHC,2026-07-05T18:30:00Z,Pre-Game,4,Javier Assad,665871,R,56.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",59.3,43.2,42.8,94.9,50.0,44.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 6.7% barrel, 7.9 HR allowed",EV profile; pitcher fly-ball pressure modest,13.07,50.91,93.42,105.0887,0.4589,0.2005,0.3375,78.8,83.19,37.61,24.19,15.1,0.1876,6.65,47.12,89.9,0.4417,0.1663,25.94,In From LF,70,Wrigley Field,
45,669477,Casey Schmitt,SF,COL,2026-07-05T20:00:00Z,Scheduled,2,Tanner Gordon,685299,R,56.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",48.5,66.5,38.7,95.5,50.0,12.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","same-side matchup; pitcher baseline 12.4% barrel, 9.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.45,43.8,89.64,100.7318,0.4906,0.2073,0.3483,72.19,25.29,41.2,32.59,14.8,0.1948,12.41,43.93,91.15,0.4901,0.2188,33.53,,,Coors Field,
46,605141,Mookie Betts,LAD,SD,2026-07-05T23:20:00Z,Scheduled,4,JP Sears,676664,L,56.2,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",35.3,76.1,27.6,90.4,78.0,48.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,1,Contact streak: 10/31 over last 7 games,"platoon edge; pitcher baseline 12.8% barrel, 11.8 HR allowed",fly-ball profile; pitcher allows elevated contact,7.53,37.97,90.22,98.6887,0.443,0.163,0.3384,69.42,8.35,40.52,35.41,13.7,0.183,12.83,44.86,90.46,0.5489,0.2582,44.02,,,UNIQLO Field at Dodger Stadium,
47,571970,Max Muncy,LAD,SD,2026-07-05T23:20:00Z,Scheduled,7,JP Sears,676664,L,56.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable",57.0,76.1,27.6,59.8,50.0,43.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","same-side matchup; pitcher baseline 12.8% barrel, 11.8 HR allowed",fly-ball profile; pitcher allows elevated contact,13.74,46.46,90.39,101.3302,0.4942,0.2471,0.3663,71.41,13.73,51.99,35.02,17.6,0.2361,12.83,44.86,90.46,0.5489,0.2582,44.02,,,UNIQLO Field at Dodger Stadium,
48,691406,Junior Caminero,TB,HOU,2026-07-05T19:30:00Z,Scheduled,3,Peter Lambert,663567,R,56.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",64.7,36.4,27.6,92.1,50.0,88.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,6,Hot streak: 6 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 10.0 HR allowed",EV profile; pitcher allows elevated contact,13.58,51.89,93.1,105.4568,0.5101,0.2397,0.367,79.48,86.21,46.43,23.77,31.7,0.2738,6.8,39.3,89.0,0.363,0.153,34.5,,,Daikin Park,
49,686527,Dominic Canzone,SEA,TOR,2026-07-05T21:00:00Z,Scheduled,3,Trey Yesavage,702056,R,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.8,32.1,25.4,92.1,80.0,57.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 4.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.34,48.79,92.79,103.4077,0.5351,0.2507,0.3809,74.22,43.7,40.18,26.86,13.1,0.2489,6.16,44.35,90.36,0.3382,0.1247,25.11,,,T-Mobile Park,
50,641933,Tyler O'Neill,BAL,CIN,2026-07-05T17:05:00Z,Pre-Game,6,Nick Lodolo,666157,L,55.6,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",42.8,44.5,76.8,76.2,78.0,32.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,14,1,"Last 7 games: 3/14, 1 HR","platoon edge; pitcher baseline 8.0% barrel, 12.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,10.13,41.2,89.15,100.1649,0.4061,0.1918,0.3152,72.6,23.47,48.87,39.28,4.8,0.1335,7.99,39.17,89.78,0.4447,0.1757,26.75,Out To LF,83,Great American Ball Park,
51,694192,Jackson Chourio,MIL,AZ,2026-07-05T20:00:00Z,Scheduled,2,Eduardo Rodriguez,593958,L,55.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.9,43.1,28.2,95.5,78.0,57.6,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 13.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.13,45.38,91.4,102.2654,0.461,0.2105,0.3287,74.67,48.61,33.46,28.78,15.4,0.2231,8.41,36.74,88.55,0.4436,0.1811,26.42,,,Chase Field,
52,683737,Michael Busch,CHC,STL,2026-07-05T18:30:00Z,Pre-Game,5,Matthew Liberatore,669461,L,55.5,Longshot,Watch List,Strong Barrel,48.3,59.3,42.8,86.4,50.0,45.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.6% barrel, 17.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.9,43.1,89.4,99.9245,0.4514,0.2153,0.3535,68.76,5.18,39.16,36.44,17.9,0.1892,10.6,42.36,90.95,0.4769,0.1976,28.59,In From LF,70,Wrigley Field,
53,668939,Adley Rutschman,BAL,CIN,2026-07-05T17:05:00Z,Pre-Game,2,Nick Lodolo,666157,L,55.2,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",36.4,43.2,76.8,100.0,75.0,10.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","switch hitter; pitcher baseline 8.0% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.99,41.82,89.47,99.6933,0.4303,0.1697,0.3383,70.66,13.32,37.91,29.99,8.3,0.1845,7.99,39.17,89.78,0.4447,0.1757,26.75,Out To LF,83,Great American Ball Park,
54,668904,Royce Lewis,MIN,NYY,2026-07-05T17:35:00Z,Pre-Game,5,Ryan Weathers,677960,L,55.1,Longshot,Watch List,"Strong Barrel, Platoon Edge",40.4,55.1,53.7,86.4,78.0,27.1,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.01,41.14,89.24,100.4101,0.3818,0.1579,0.2963,74.09,45.26,49.17,31.97,9.5,0.1587,10.72,42.62,89.74,0.446,0.196,28.21,In From RF,85,Yankee Stadium,
55,663457,Lars Nootbaar,STL,CHC,2026-07-05T18:30:00Z,Pre-Game,5,Javier Assad,665871,R,54.9,Longshot,Watch List,"Strong Barrel, Platoon Edge",53.4,43.2,42.8,86.4,80.0,24.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 6.7% barrel, 7.9 HR allowed",EV profile; pitcher fly-ball pressure modest,10.97,53.36,92.49,102.5287,0.4574,0.1963,0.3478,73.26,37.8,37.23,28.13,5.3,0.1459,6.65,47.12,89.9,0.4417,0.1663,25.94,In From LF,70,Wrigley Field,
56,672960,Kazuma Okamoto,TOR,SEA,2026-07-05T21:00:00Z,Scheduled,3,Emerson Hancock,676106,R,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.3,52.3,25.4,92.1,50.0,30.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 9.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.9,49.5,91.7,102.7516,0.452,0.228,0.332,73.2,35.8,51.0,31.2,19.0,0.219,9.17,44.18,90.12,0.4526,0.1878,28.31,,,T-Mobile Park,
57,679529,Spencer Torkelson,DET,TEX,2026-07-05T19:30:00Z,Pre-Game,5,Kumar Rocker,677958,R,54.6,Longshot,Watch List,Strong Barrel,53.6,46.3,41.1,86.4,50.0,60.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.8% barrel, 8.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.2,45.38,90.27,100.7102,0.4315,0.2097,0.3291,73.0,24.37,47.49,36.04,19.1,0.2069,8.79,44.14,89.94,0.4388,0.1717,21.39,None,72,Globe Life Field,
58,607043,Brandon Nimmo,TEX,DET,2026-07-05T19:30:00Z,Pre-Game,3,Casey Mize,663554,R,54.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.9,34.1,41.1,96.6,80.0,22.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,1,"Last 7 games: 4/27, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 9.1 HR allowed",EV profile; pitcher allows elevated contact,11.95,51.88,92.32,102.3921,0.4946,0.2139,0.3644,72.51,28.18,31.35,28.15,13.1,0.1607,7.73,37.04,88.46,0.3581,0.1378,30.18,None,72,Globe Life Field,
59,668804,Bryan Reynolds,PIT,WSH,2026-07-05T17:00:00Z,Pre-Game,3,Cade Cavalli,676917,R,54.4,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",45.4,29.3,68.7,96.6,75.0,35.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","switch hitter; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.96,46.77,90.99,102.1079,0.4491,0.1904,0.3569,72.76,29.7,40.43,24.13,13.2,0.1773,6.32,40.12,88.68,0.3832,0.1326,20.7,Out To CF,93,Nationals Park,
60,668709,JJ Bleday,CIN,BAL,2026-07-05T17:05:00Z,Pre-Game,3,Kyle Bradish,680694,R,54.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",38.5,36.3,76.8,96.6,80.0,14.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.71,41.57,88.91,100.0548,0.4206,0.1767,0.339,73.31,30.69,47.21,30.47,13.3,0.227,9.01,37.71,88.82,0.3648,0.1422,22.1,Out To LF,83,Great American Ball Park,
61,643217,Andrew Benintendi,CWS,CLE,2026-07-05T18:00:00Z,Pre-Game,4,Tanner Bibee,676440,R,54.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",41.7,47.9,41.6,94.9,80.0,46.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","platoon edge; pitcher baseline 8.9% barrel, 20.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.4,45.3,88.98,99.0273,0.4314,0.1844,0.3221,69.47,3.87,52.06,31.92,13.0,0.1882,8.87,40.94,89.41,0.4228,0.1737,27.27,In From RF,82,Progressive Field,
62,592626,Joc Pederson,TEX,DET,2026-07-05T19:30:00Z,Pre-Game,1,Casey Mize,663554,R,54.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.2,34.1,41.1,93.2,80.0,71.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 9.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.83,48.65,91.83,101.9653,0.4308,0.1852,0.3416,72.42,23.61,41.29,27.65,12.5,0.2037,7.73,37.04,88.46,0.3581,0.1378,30.18,None,72,Globe Life Field,
63,666182,Bo Bichette,NYM,ATL,2026-07-05T16:30:00Z,Pre-Game,3,Martín Pérez,527048,L,54.0,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",35.7,41.6,71.9,96.6,78.0,18.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 8.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.2,45.79,90.65,101.5557,0.4401,0.1538,0.3369,69.8,13.88,26.35,23.3,12.4,0.1398,9.26,37.58,87.99,0.4255,0.1737,25.18,Out To LF,84,Truist Park,
64,693307,Dillon Dingler,DET,TEX,2026-07-05T19:30:00Z,Pre-Game,2,Kumar Rocker,677958,R,54.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",52.2,46.3,41.1,100.0,50.0,19.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.3,47.38,90.21,101.3276,0.5212,0.2284,0.3755,71.91,16.77,42.06,29.9,17.2,0.2261,8.79,44.14,89.94,0.4388,0.1717,21.39,None,72,Globe Life Field,
65,682928,CJ Abrams,WSH,PIT,2026-07-05T17:00:00Z,Pre-Game,4,Bubba Chandler,696149,R,53.6,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",38.9,37.5,68.7,94.9,80.0,18.3,Yes,No,4,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,29,1,"Last 7 games: 3/29, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 6.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.28,40.67,89.61,100.0169,0.4213,0.1742,0.3265,72.68,26.34,44.08,28.38,18.3,0.2152,7.65,38.11,89.64,0.3863,0.1581,27.14,Out To CF,93,Nationals Park,
66,663886,Tyler Stephenson,CIN,BAL,2026-07-05T17:05:00Z,Pre-Game,6,Kyle Bradish,680694,R,53.5,Longshot,Watch List,"Strong Barrel, Good Environment",49.3,36.3,76.8,76.2,50.0,36.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,0,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 9.0% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.05,47.45,90.92,100.6259,0.4277,0.1963,0.3277,70.87,9.38,37.57,33.57,8.1,0.1515,9.01,37.71,88.82,0.3648,0.1422,22.1,Out To LF,83,Great American Ball Park,
67,621493,Taylor Ward,BAL,CIN,2026-07-05T17:05:00Z,Pre-Game,3,Nick Lodolo,666157,L,53.4,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",32.3,44.5,76.8,96.6,78.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,0,"Last 7 games: 3/27, 0 HR","platoon edge; pitcher baseline 8.0% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.75,40.18,89.54,99.5535,0.3996,0.1546,0.3393,68.52,4.26,32.26,30.22,14.3,0.1427,7.99,39.17,89.78,0.4447,0.1757,26.75,Out To LF,83,Great American Ball Park,
68,664023,Ian Happ,CHC,STL,2026-07-05T18:30:00Z,Pre-Game,7,Matthew Liberatore,669461,L,53.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",49.2,57.4,42.8,64.3,75.0,23.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","switch hitter; pitcher baseline 10.6% barrel, 17.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.57,43.56,89.79,101.3079,0.4339,0.2133,0.3316,71.98,19.3,43.07,33.93,18.8,0.2099,10.6,42.36,90.95,0.4769,0.1976,28.59,In From LF,70,Wrigley Field,
