rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
163,680574,Matt McLain,CIN,MIL,2026-09-05T22:40:00Z,Scheduled,7,Dustin May,669160,R,41.0,Longshot,Watch List,Projected Lineup,33.8,42.5,39.3,59.8,50.0,18.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.2,38.46,88.52,99.0972,0.3746,0.156,0.3022,71.0,10.17,36.06,33.15,14.3,0.1454,7.73,44.43,90.04,0.3999,0.149,24.73,,,Great American Ball Park,
164,694671,Wyatt Langford,TEX,TB,2026-09-05T23:05:00Z,Scheduled,3,Drew Rasmussen,656876,R,40.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",37.6,29.0,27.6,92.1,50.0,0.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","same-side matchup; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.68,40.7,89.65,100.4636,0.4067,0.1687,0.3243,72.75,26.38,42.75,29.76,17.1,0.1928,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
165,691781,Brady House,WSH,LAD,2026-09-06T01:10:00Z,Scheduled,7,Tyler Glasnow,607192,R,40.9,Longshot,Watch List,Projected Lineup,40.4,31.0,27.6,59.8,50.0,61.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,1,Contact streak: 9/22 over last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.64,47.63,89.87,101.7456,0.4232,0.1623,0.319,73.24,30.39,32.47,26.56,8.2,0.1412,7.86,37.75,89.39,0.3135,0.1245,25.42,,,UNIQLO Field at Dodger Stadium,
166,663586,Austin Riley,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,8,Zack Wheeler,554430,R,40.7,Longshot,Watch List,"Projected Lineup, Strong Barrel",52.2,26.0,34.3,47.9,50.0,18.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.68,46.21,91.6,102.7619,0.4139,0.1914,0.3069,75.83,59.29,40.29,31.43,15.3,0.1456,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
167,687637,Dylan Beavers,BAL,BOS,2026-09-05T23:05:00Z,Scheduled,7,Sonny Gray,543243,R,40.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.6,37.2,32.1,59.8,80.0,14.6,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 18.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.76,35.56,88.31,99.0927,0.3877,0.1614,0.3181,72.41,21.4,41.09,32.65,5.4,0.1485,7.56,38.95,89.11,0.388,0.1383,22.78,,,Oriole Park at Camden Yards,
168,807712,Luke Keaschall,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,1,Anthony Kay,641743,L,40.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",13.3,40.8,27.6,88.7,78.0,53.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,1,Contact streak: 10/28 over last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.15,30.01,85.64,96.8411,0.3654,0.1153,0.3177,68.64,7.52,37.91,27.25,7.5,0.1241,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
169,687597,Jordan Beck,COL,STL,2026-09-06T00:10:00Z,Scheduled,8,Matthew Liberatore,669461,L,40.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.0,55.9,38.7,47.9,78.0,17.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.96,32.83,86.91,98.5434,0.3222,0.1059,0.2628,73.76,37.04,38.33,28.46,5.5,0.1202,9.9,42.22,90.39,0.4566,0.1899,29.29,,,Coors Field,
170,806367,Turner Hill,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,6,Zac Thornton,804267,L,40.3,Longshot,Watch List,Projected Lineup,18.2,42.0,52.3,71.7,50.0,36.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,22,0,Contact streak: 8/22 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.5,34.1,88.1,97.3398,0.419,0.128,0.368,65.9,1.4,54.5,18.2,0.0,0.105,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
171,699393,Pedro Ramírez,CHC,MIA,2026-09-05T20:10:00Z,Pre-Game,7,Ryan Gusto,687473,R,40.2,Longshot,Watch List,Platoon Edge,22.2,43.9,35.0,64.3,75.0,27.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","switch hitter; pitcher baseline 8.3% barrel, 10.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.2,41.0,89.1,99.4812,0.358,0.1,0.299,72.3,22.6,41.7,22.2,4.0,0.147,8.31,44.02,89.83,0.4246,0.162,25.21,None,72,loanDepot park,
172,687093,Vaughn Grissom,LAA,PIT,2026-09-05T22:40:00Z,Scheduled,4,Braxton Ashcraft,677952,R,40.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",29.0,31.7,24.3,90.4,50.0,40.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","same-side matchup; pitcher baseline 5.8% barrel, 15.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.4,38.3,88.1,99.197,0.397,0.145,0.317,71.2,17.5,40.1,25.9,10.0,0.145,5.75,40.74,89.19,0.3629,0.1297,24.34,,,PNC Park,
173,669221,Sean Murphy,ATL,PHI,2026-09-05T22:05:00Z,Scheduled,7,Zack Wheeler,554430,R,39.9,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",32.5,26.0,34.3,59.8,50.0,98.4,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.27,40.93,87.42,101.204,0.3611,0.1552,0.2867,72.25,27.14,47.86,26.56,6.9,0.1946,6.5,34.8,86.98,0.3228,0.1212,25.74,,,Citizens Bank Park,
174,592663,J.T. Realmuto,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,8,Martín Pérez,527048,L,39.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",31.8,38.5,34.3,47.9,78.0,25.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.21,42.07,89.86,100.1927,0.3998,0.1426,0.3216,72.77,31.24,42.37,25.52,10.6,0.1312,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
175,656537,Derek Hill,PHI,ATL,2026-09-05T22:05:00Z,Scheduled,9,Martín Pérez,527048,L,39.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",35.5,38.5,34.3,40.2,78.0,22.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,0,"Last 7 games: 3/11, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.01,38.76,89.66,99.8374,0.3817,0.157,0.2901,71.9,20.08,35.77,24.25,7.2,0.1547,8.07,38.42,88.06,0.4227,0.1639,23.78,,,Citizens Bank Park,
176,669242,Tommy Edman,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,1,Cade Cavalli,676917,R,39.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",22.7,32.0,27.6,88.7,75.0,28.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,32,0,"Last 7 games: 10/32, 0 HR","switch hitter; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.34,36.54,88.09,99.2228,0.3816,0.1167,0.3182,70.59,13.16,42.18,27.41,7.4,0.1381,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
177,663656,Kyle Tucker,LAD,WSH,2026-09-06T01:10:00Z,Scheduled,7,Cade Cavalli,676917,R,39.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",32.4,33.5,27.6,59.8,80.0,28.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,1,"Last 7 games: 4/21, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.16,38.09,89.12,98.7987,0.4102,0.1514,0.3405,71.51,20.52,43.1,33.19,15.0,0.1525,6.6,41.45,88.75,0.3783,0.1347,21.89,,,UNIQLO Field at Dodger Stadium,
178,641680,Jonah Heim,ATH,SEA,2026-09-06T01:40:00Z,Scheduled,6,George Kirby,669923,R,39.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.1,38.7,25.4,71.7,75.0,40.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","switch hitter; pitcher baseline 7.3% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.52,34.01,88.03,97.9422,0.3656,0.1396,0.2872,69.77,9.1,40.7,27.83,12.4,0.161,7.34,41.73,89.83,0.4004,0.1444,24.66,,,T-Mobile Park,
179,647304,Josh Naylor,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,5,Jeffrey Springs,605488,L,39.9,Longshot,Watch List,Projected Lineup,23.0,47.7,25.4,81.9,50.0,22.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.16,37.7,87.87,99.0276,0.3984,0.1296,0.3187,70.41,11.75,41.71,22.57,13.0,0.118,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
180,680776,Jarren Duran,BOS,BAL,2026-09-05T23:05:00Z,Scheduled,8,Chris Bassitt,605135,R,39.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.1,30.4,32.1,47.9,80.0,18.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.56,42.25,90.54,102.0498,0.3932,0.1543,0.3057,74.98,50.17,38.62,23.07,18.1,0.1657,6.19,36.25,87.7,0.414,0.1378,23.14,,,Oriole Park at Camden Yards,
181,689414,Liam Hicks,TB,TEX,2026-09-05T23:05:00Z,Scheduled,4,Jacob deGrom,594798,R,39.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",8.4,47.3,27.6,90.4,80.0,27.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.81,27.77,84.88,96.2365,0.3521,0.0997,0.315,68.03,3.72,41.54,24.22,13.7,0.1375,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
182,656775,Cedric Mullins,TB,TEX,2026-09-05T23:05:00Z,Scheduled,7,Jacob deGrom,594798,R,39.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",20.8,47.3,27.6,59.8,80.0,31.9,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.94,33.17,88.1,97.8975,0.3199,0.1264,0.2708,70.96,9.64,45.74,32.64,14.9,0.154,8.46,43.58,90.31,0.3875,0.1588,29.53,,,Globe Life Field,
183,673237,Yainer Diaz,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,7,Brandon Pfaadt,694297,R,39.4,Longshot,Watch List,Projected Lineup,30.7,42.5,27.6,59.8,50.0,41.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.15,38.42,88.85,99.7699,0.4216,0.1557,0.3113,72.41,21.74,36.77,19.59,13.7,0.1645,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
184,808982,Jung Hoo Lee,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,4,Zac Thornton,804267,L,39.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",12.4,42.0,52.3,90.4,50.0,3.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.86,31.16,87.31,96.8764,0.3822,0.0982,0.3168,68.37,3.47,37.83,22.66,8.7,0.1326,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
185,668800,Andrew Knizner,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,7,Zac Thornton,804267,L,39.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",17.2,42.0,52.3,59.8,78.0,5.1,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 8.2% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.02,29.36,86.09,96.9526,0.323,0.119,0.2696,70.04,6.77,25.5,32.16,1.0,0.1361,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
186,691019,Kyle Teel,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,9,Taj Bradley,671737,R,39.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",31.4,47.9,27.6,40.2,80.0,5.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.09,43.62,84.8,99.6656,0.3761,0.1461,0.3062,71.57,25.18,39.07,28.68,3.8,0.1261,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
187,670623,Isaac Paredes,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,3,Brandon Pfaadt,694297,R,39.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",17.1,42.5,27.6,92.1,50.0,31.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.25,29.75,86.42,96.8991,0.3695,0.1278,0.3207,67.74,7.5,51.93,31.15,18.6,0.1767,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
188,605170,Victor Caratini,MIN,CWS,2026-09-05T23:10:00Z,Scheduled,7,Anthony Kay,641743,L,38.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.3,38.8,27.6,59.8,75.0,7.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","switch hitter; pitcher baseline 8.5% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.79,39.86,89.26,98.9725,0.3914,0.1511,0.322,71.39,16.36,37.78,23.9,8.5,0.1149,8.5,39.1,88.3,0.413,0.154,22.2,,,Rate Field,
189,593428,Xander Bogaerts,SD,NYY,2026-09-05T23:15:00Z,Scheduled,6,Carlos Rodón,607074,L,38.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.7,32.8,22.6,71.7,78.0,21.1,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 10.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.27,40.67,89.07,100.0546,0.3857,0.1341,0.3235,72.38,28.01,42.96,23.76,11.0,0.1105,6.97,37.64,89.44,0.3517,0.1317,27.74,,,Petco Park,
190,677649,Ezequiel Duran,TEX,TB,2026-09-05T23:05:00Z,Scheduled,5,Drew Rasmussen,656876,R,38.7,Longshot,Watch List,"Projected Lineup, Hot Hitter/Streak",21.7,29.0,27.6,81.9,50.0,88.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.0% barrel, 14.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.4,35.87,87.82,98.982,0.3566,0.1202,0.289,72.34,24.8,35.87,22.35,11.9,0.1488,6.02,37.14,88.99,0.3568,0.125,23.03,,,Globe Life Field,
191,687401,Joey Ortiz,MIL,CIN,2026-09-05T22:40:00Z,Scheduled,8,Andrew Abbott,671096,L,38.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.7,43.4,39.3,47.9,78.0,56.6,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,1,Contact streak: 6/16 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 20.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.84,35.88,87.63,99.0909,0.3375,0.0967,0.2904,72.86,29.8,31.98,20.1,7.7,0.1192,8.14,36.99,89.13,0.4214,0.166,28.49,,,Great American Ball Park,
192,703520,Brett Bateman,TOR,KC,2026-09-05T23:10:00Z,Scheduled,1,Seth Lugo,607625,R,38.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",1.4,53.4,23.2,88.7,80.0,33.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,0,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 20.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,0.0,16.0,83.6,94.0512,0.287,0.048,0.278,68.5,2.9,30.7,9.3,0.0,0.064,8.65,43.66,90.14,0.4632,0.1904,28.9,,,Kauffman Stadium,
193,701358,Cam Smith,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,9,Brandon Pfaadt,694297,R,38.1,Longshot,Watch List,Projected Lineup,40.3,42.5,27.6,40.2,50.0,7.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.63,43.25,88.74,101.43,0.4082,0.169,0.3145,76.81,68.25,37.63,24.86,14.6,0.1577,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
194,650402,Gleyber Torres,DET,CLE,2026-09-05T22:10:00Z,Scheduled,1,Parker Messick,800048,L,38.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",25.4,18.3,27.6,88.7,78.0,34.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"platoon edge; pitcher baseline 5.0% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.08,35.5,87.48,97.9677,0.4011,0.1426,0.3385,68.77,5.96,26.83,26.96,10.4,0.1205,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
195,805808,Kevin McGonigle,DET,CLE,2026-09-05T22:10:00Z,Scheduled,2,Parker Messick,800048,L,37.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.3,18.3,27.6,95.5,50.0,13.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","same-side matchup; pitcher baseline 5.0% barrel, 11.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,6.9,36.7,88.1,98.2747,0.43,0.169,0.35,71.2,16.1,37.7,35.9,14.0,0.138,4.96,31.55,87.54,0.3379,0.1142,21.12,,,Progressive Field,
196,642215,Weston Wilson,SEA,ATH,2026-09-06T01:40:00Z,Scheduled,8,Jeffrey Springs,605488,L,37.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",23.4,47.7,25.4,47.9,78.0,19.5,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 9.2% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.66,37.99,86.88,99.0289,0.3283,0.1228,0.2831,72.57,25.98,47.76,25.78,4.3,0.1409,9.15,35.69,87.81,0.4471,0.1946,32.51,,,T-Mobile Park,
