player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,public_attention,odds
Nathan Lukes,TOR,PHI,2,Cristopher Sánchez,L,L,1.2,0.095,86.2,97.379318293,.373,.081,.319,67.8,3.8,36.1,18.1,33.7,1,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Vladimir Guerrero Jr.,TOR,PHI,3,Cristopher Sánchez,L,R,6.8,0.087,90.6,102.574434808,.428,.123,.360,76.2,63.5,35.3,17.9,44.9,3,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Kazuma Okamoto,TOR,PHI,4,Cristopher Sánchez,L,R,14.6,0.197,92.4,103.236832632,.444,.217,.330,73.5,39,49.7,29.8,51,13,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Ernie Clement,TOR,PHI,5,Cristopher Sánchez,L,R,2.6,0.154,85.7,95.343236991,.356,.095,.278,67.6,3.3,45.4,25.8,25.8,6,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Andrés Giménez,TOR,PHI,6,Cristopher Sánchez,L,L,3.5,0.133,85.9,95.468181548,.311,.088,.262,68.1,4,38.6,21.1,24.6,6,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Myles Straw,TOR,PHI,7,Cristopher Sánchez,L,R,4.8,0.091,86.6,96.71794175,.365,.102,.308,69.1,8.5,42.9,29.8,27.4,2,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Tyler Heineman,TOR,PHI,8,Cristopher Sánchez,L,S,1.7,0.053,82.7,92.582454286,.248,.051,.227,65.3,0,52.5,23,14.8,1,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Yohendrick Piñango,TOR,PHI,9,Cristopher Sánchez,L,L,7.6,0.155,91.4,101.8399785,.434,.149,.326,75.6,56,30.4,21.5,43,4,8.3,44.3,89.4,.349,.128,17.1,3,3,3,Rogers Centre,105,68,12,R To L,Yes,,
Jeremy Peña,HOU,LAA,1,Grayson Rodriguez,R,R,5.1,0.139,86,97.9821558,.480,.153,.375,72.2,11.7,44.4,29.3,32.3,3,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,,
Yordan Alvarez,HOU,LAA,2,Grayson Rodriguez,R,L,18.6,0.334,94.9,105.879464574,.737,.390,.493,76,60.1,44.7,38.4,54.2,22,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,,
Christian Walker,HOU,LAA,3,Grayson Rodriguez,R,R,12.2,0.248,90.2,101.733583684,.429,.190,.321,74.1,41.3,42.3,28,45,16,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,,
Isaac Paredes,HOU,LAA,4,Grayson Rodriguez,R,R,6.7,0.174,87.1,97.151275889,.374,.134,.317,67.6,6.1,56.1,32.8,30.6,9,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,,
Jose Altuve,HOU,LAA,5,Grayson Rodriguez,R,R,6.1,0.147,86.3,98.318256563,.367,.119,.310,69,9.1,43.6,18,36.8,5,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,,
