rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
139,687221,Dalton Rushing,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,9,Luis Castillo,622491,R,45.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",44.3,51.0,27.6,40.2,80.0,31.9,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,1,"Last 7 games: 4/19, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.18,44.11,89.61,101.7371,0.4112,0.1753,0.3215,72.61,18.03,47.19,27.9,8.9,0.1879,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
140,543510,James McCann,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,8,Bubba Chandler,696149,R,45.2,Longshot,Watch List,Hot Hitter/Streak,37.0,35.5,51.8,52.4,50.0,98.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.3,45.83,90.55,100.8795,0.3667,0.1557,0.2654,72.33,25.81,25.46,24.7,3.6,0.1605,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
141,680474,Max Schuemann,NYY,CWS,2026-07-28T23:40:00Z,Pre-Game,8,Anthony Kay,641743,L,45.2,Longshot,Watch List,"Good Environment, Platoon Edge",30.9,39.8,71.6,52.4,78.0,7.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,0,"Last 7 games: 3/18, 0 HR","platoon edge; pitcher baseline 8.6% barrel, 14.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,8.55,39.41,88.77,98.4465,0.355,0.1327,0.3236,69.72,6.44,31.59,35.11,2.0,0.1432,8.6,39.0,88.5,0.416,0.148,22.0,Out To RF,72,Rate Field,
142,665750,Leody Taveras,BAL,DET,2026-07-28T22:40:00Z,Pre-Game,5,Troy Melton,675512,R,44.8,Longshot,Watch List,"Good Environment, Platoon Edge",19.0,32.5,73.1,86.4,75.0,18.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,1,"Last 7 games: 3/26, 1 HR","switch hitter; pitcher baseline 7.0% barrel, 7.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.28,31.91,87.66,98.6458,0.3328,0.1187,0.2733,72.32,24.28,32.67,23.47,4.4,0.1165,6.99,39.68,89.33,0.3577,0.1428,24.84,Out To RF,75,Comerica Park,
143,621020,Dansby Swanson,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,9,Michael McGreevy,700241,R,44.8,Longshot,Watch List,Projected Lineup,40.3,54.9,41.6,40.2,50.0,39.7,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,0,Contact streak: 10/26 over last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.83,44.3,89.94,100.1323,0.4196,0.182,0.3184,71.32,8.57,46.36,30.17,18.4,0.1856,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
144,668952,Ryan Kreidler,MIN,KC,2026-07-28T23:40:00Z,Pre-Game,9,Seth Lugo,607625,R,44.7,Longshot,Watch List,No major boost,27.2,60.0,67.6,44.8,50.0,9.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","same-side matchup; pitcher baseline 9.9% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.04,34.34,88.48,99.4108,0.3572,0.1385,0.2829,73.31,33.98,44.84,27.67,3.5,0.1225,9.91,44.71,90.7,0.4793,0.2079,30.3,Out To CF,89,Target Field,
145,667472,Dane Myers,CIN,CLE,2026-07-28T23:10:00Z,Scheduled,7,Gavin Williams,668909,R,44.6,Longshot,Watch List,Projected Lineup,31.4,57.2,39.3,59.8,50.0,34.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,23,0,Contact streak: 8/23 over last 7 games,"same-side matchup; pitcher baseline 10.8% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.89,36.89,90.21,99.6729,0.4035,0.1533,0.3285,71.42,20.04,26.32,26.85,3.9,0.1071,10.75,47.38,90.68,0.4162,0.181,25.09,,,Great American Ball Park,
146,691720,Kyle Karros,COL,SD,2026-07-29T01:40:00Z,Pre-Game,5,Michael King,650633,R,44.6,Longshot,Watch List,No major boost,25.0,40.6,57.6,86.4,50.0,27.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","same-side matchup; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.04,39.86,89.09,99.6226,0.3628,0.1215,0.3154,69.94,5.65,39.22,23.29,6.6,0.1301,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
147,664983,Jake McCarthy,COL,SD,2026-07-29T01:40:00Z,Pre-Game,1,Michael King,650633,R,44.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",14.8,40.6,57.6,93.2,80.0,19.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,32,0,"Last 7 games: 8/32, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.37,26.48,85.12,96.5072,0.3866,0.1329,0.3014,70.64,11.09,37.31,21.24,8.2,0.1851,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
148,683083,Nasim Nuñez,WSH,TOR,2026-07-28T22:45:00Z,Pre-Game,7,Shane Bieber,669456,R,44.4,Longshot,Watch List,Platoon Edge,4.8,64.8,68.2,64.3,75.0,25.8,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","switch hitter; pitcher baseline 11.5% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.69,27.01,85.8,95.8817,0.304,0.0741,0.2813,68.77,5.15,31.64,18.26,1.9,0.0811,11.53,47.29,90.61,0.5315,0.2369,25.47,Out To RF,80,Nationals Park,
149,624585,Jorge Soler,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,4,Peter Lambert,663567,R,44.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",41.7,34.0,28.2,90.4,50.0,18.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,28,1,"Last 7 games: 3/28, 1 HR","same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.75,43.47,89.07,101.8374,0.3744,0.1676,0.2968,74.7,48.48,50.63,25.03,12.0,0.1706,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
150,681198,TJ Rumfield,COL,SD,2026-07-29T01:40:00Z,Pre-Game,4,Michael King,650633,R,44.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.8,40.6,57.6,94.9,80.0,16.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,0,"Last 7 games: 5/22, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.2,27.9,83.7,96.2871,0.383,0.13,0.325,68.9,8.4,43.8,27.9,13.0,0.177,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
151,687515,Colby Thomas,ATH,BOS,2026-07-29T01:40:00Z,Scheduled,5,Jake Bennett,687562,L,43.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.9,24.9,30.9,81.9,78.0,12.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,0,"Last 7 games: 3/15, 0 HR","platoon edge; pitcher baseline 5.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.5,39.99,90.1,100.9592,0.3741,0.1802,0.264,75.29,54.94,37.32,34.7,4.6,0.1542,5.7,36.9,87.4,0.369,0.137,24.4,,,Sutter Health Park,
152,607208,Trea Turner,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,1,Sandy Alcantara,645261,R,43.6,Longshot,Watch List,Premium Lineup Spot,28.7,34.8,35.0,93.2,50.0,58.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.29,41.82,89.09,99.5654,0.382,0.1302,0.3021,71.55,19.27,33.63,25.48,14.3,0.1474,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
153,671976,Tristan Peters,CWS,NYY,2026-07-28T23:40:00Z,Pre-Game,7,Gerrit Cole,543037,R,43.6,Longshot,Watch List,"Good Environment, Platoon Edge",13.0,51.0,71.6,64.3,80.0,2.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.64,34.12,87.29,97.9261,0.3222,0.1001,0.2593,69.35,5.11,42.54,18.69,4.2,0.112,10.7,43.1,90.1,0.391,0.154,32.8,Out To RF,72,Rate Field,
154,701358,Cam Smith,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,7,Reid Detmers,672282,L,43.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",42.9,36.9,28.2,59.8,78.0,18.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,10,1,"Last 7 games: 1/10, 1 HR","platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.4,43.39,89.02,101.5321,0.4222,0.1795,0.3243,76.6,67.48,36.93,24.93,11.8,0.1465,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
155,669242,Tommy Edman,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,6,Luis Castillo,622491,R,43.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",28.7,49.2,27.6,71.7,75.0,28.2,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","switch hitter; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.67,40.32,89.07,100.3103,0.4313,0.1272,0.3567,70.41,11.16,44.7,23.28,5.3,0.1542,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
156,664761,Alec Bohm,PHI,MIA,2026-07-28T22:40:00Z,Pre-Game,4,Sandy Alcantara,645261,R,43.4,Longshot,Watch List,Premium Lineup Spot,29.5,34.8,35.0,94.9,50.0,44.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.57,43.46,90.59,100.2183,0.3899,0.1327,0.3107,70.93,12.53,28.77,21.18,12.4,0.1381,6.57,38.28,89.02,0.3905,0.1358,24.45,None,72,loanDepot park,
157,694192,Jackson Chourio,MIL,SF,2026-07-29T01:45:00Z,Scheduled,2,Landen Roupp,694738,R,43.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",50.6,19.9,19.3,95.5,50.0,19.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 5.5% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.15,44.54,91.26,101.9947,0.4491,0.2007,0.3224,74.39,45.39,31.85,28.29,15.4,0.193,5.54,32.02,87.14,0.3499,0.1183,21.68,,,Oracle Park,
158,668930,Brice Turang,MIL,SF,2026-07-29T01:45:00Z,Scheduled,3,Landen Roupp,694738,R,43.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.5,19.9,19.3,92.1,80.0,48.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.35,44.39,90.82,100.606,0.4395,0.1817,0.3441,70.25,12.43,27.79,24.27,15.9,0.1806,5.54,32.02,87.14,0.3499,0.1183,21.68,,,Oracle Park,
159,656716,Zach McKinstry,DET,BAL,2026-07-28T22:40:00Z,Pre-Game,7,Dean Kremer,665152,R,43.1,Longshot,Watch List,"Good Environment, Platoon Edge",7.8,47.3,73.1,64.3,80.0,40.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,0,Contact streak: 7/18 over last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 13.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.86,24.69,85.35,95.7717,0.3335,0.0949,0.291,68.34,4.49,39.98,27.3,6.4,0.1265,8.98,34.61,87.4,0.4606,0.2156,34.77,Out To RF,75,Comerica Park,
160,678391,Jorbit Vivas,WSH,TOR,2026-07-28T22:45:00Z,Pre-Game,8,Shane Bieber,669456,R,43.1,Longshot,Watch List,Platoon Edge,6.6,65.5,68.2,52.4,80.0,8.5,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 11.5% barrel, 7.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.93,29.29,84.08,95.8927,0.3275,0.0827,0.2982,69.53,3.61,43.07,21.46,2.4,0.096,11.53,47.29,90.61,0.5315,0.2369,25.47,Out To RF,80,Nationals Park,
161,678882,Ceddanne Rafaela,BOS,ATH,2026-07-29T01:40:00Z,Scheduled,5,Gage Jump,695611,L,42.9,Longshot,Watch List,"Projected Lineup, Platoon Edge, Hot Hitter/Streak",21.7,37.3,30.9,81.9,78.0,73.2,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.3% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.19,34.92,87.04,97.9607,0.3691,0.1271,0.2882,70.16,9.11,35.29,25.44,12.5,0.165,6.3,43.1,90.3,0.4,0.144,26.9,,,Sutter Health Park,
162,693304,Nick Gonzales,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,6,Brandon Pfaadt,694297,R,42.8,Longshot,Watch List,No major boost,17.4,47.5,51.8,76.2,50.0,55.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,1,Contact streak: 11/30 over last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.66,37.54,86.91,98.5206,0.3834,0.1098,0.3141,70.64,12.94,39.67,20.91,5.7,0.0985,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
163,687859,Troy Johnston,COL,SD,2026-07-29T01:40:00Z,Pre-Game,7,Michael King,650633,R,42.8,Longshot,Watch List,Platoon Edge,24.6,40.6,57.6,64.3,80.0,2.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.22,39.16,89.74,99.0882,0.402,0.1268,0.3282,70.32,5.79,39.65,23.72,3.3,0.1199,9.37,35.23,87.66,0.4123,0.1702,26.91,Out To RF,74,Petco Park,
164,606192,Teoscar Hernandez,LAD,SEA,2026-07-29T02:10:00Z,Scheduled,8,Luis Castillo,622491,R,42.8,Longshot,Watch List,Projected Lineup,41.7,51.0,27.6,47.9,50.0,28.2,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,0,"Last 7 games: 8/26, 0 HR","same-side matchup; pitcher baseline 9.7% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.82,44.49,89.57,100.851,0.4228,0.1759,0.3216,72.48,25.47,32.26,30.22,13.1,0.1594,9.7,42.69,89.88,0.4243,0.173,28.14,,,UNIQLO Field at Dodger Stadium,
165,694374,Tim Tawa,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,7,Bubba Chandler,696149,R,42.5,Longshot,Watch List,No major boost,33.8,35.5,51.8,64.3,50.0,30.0,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.97,40.77,89.27,99.4423,0.3729,0.1501,0.2928,73.94,37.79,42.9,26.89,4.9,0.16,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
166,670623,Isaac Paredes,HOU,LAA,2026-07-29T01:38:00Z,Scheduled,3,Reid Detmers,672282,L,42.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",19.6,36.9,28.2,92.1,78.0,59.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 10.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.95,30.94,86.77,97.0537,0.3723,0.132,0.3193,67.88,7.4,52.42,31.43,15.8,0.1788,7.78,39.3,89.89,0.3567,0.1341,27.64,,,Angel Stadium,
167,687093,Vaughn Grissom,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,5,Peter Lambert,663567,R,42.3,Longshot,Watch List,Projected Lineup,33.1,34.0,28.2,81.9,50.0,60.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.4,40.5,88.8,99.631,0.424,0.158,0.337,71.7,21.1,40.0,26.8,7.0,0.152,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
168,672695,Geraldo Perdomo,AZ,PIT,2026-07-28T22:40:00Z,Pre-Game,2,Bubba Chandler,696149,R,42.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",13.4,34.7,51.8,100.0,75.0,18.3,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","switch hitter; pitcher baseline 7.2% barrel, 7.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.1,29.59,87.25,96.5742,0.3617,0.1054,0.3364,67.46,2.15,44.36,26.57,11.6,0.137,7.16,38.25,89.43,0.3765,0.1532,27.42,L To R,78,PNC Park,
169,666139,Josh Lowe,LAA,HOU,2026-07-29T01:38:00Z,Scheduled,6,Peter Lambert,663567,R,42.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",34.5,34.0,28.2,71.7,80.0,24.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,1,"Last 7 games: 3/19, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.93,38.13,88.88,99.2483,0.3868,0.1639,0.2889,73.73,36.95,37.46,31.85,8.9,0.1481,6.8,37.6,89.0,0.348,0.142,33.5,,,Angel Stadium,
170,694378,Jacob Gonzalez,PIT,AZ,2026-07-28T22:40:00Z,Pre-Game,9,Brandon Pfaadt,694297,R,42.1,Longshot,Watch List,Platoon Edge,24.5,47.5,51.8,44.8,80.0,27.6,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.4,39.8,88.6,99.279,0.399,0.139,0.317,71.3,13.0,41.6,28.1,4.0,0.149,9.92,40.27,89.47,0.4331,0.1757,21.1,L To R,78,PNC Park,
171,676439,Hunter Feduccia,TB,TEX,2026-07-28T22:40:00Z,Pre-Game,9,Cal Quantrill,615698,R,42.1,Longshot,Watch List,Platoon Edge,28.2,51.2,41.1,44.8,80.0,17.7,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 10.1% barrel, 12.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.34,36.65,89.49,98.9029,0.3426,0.1248,0.2946,70.57,10.67,30.49,26.75,1.4,0.0906,10.12,37.16,88.37,0.4729,0.2066,30.34,None,72,Tropicana Field,
172,664770,Nathan Lukes,TOR,WSH,2026-07-28T22:45:00Z,Pre-Game,2,Cade Cavalli,676917,R,42.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",9.1,29.7,68.2,100.0,80.0,10.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,0,"Last 7 games: 4/21, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 8.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.14,30.28,86.71,96.7431,0.3493,0.0938,0.2954,67.51,4.14,33.31,20.88,7.1,0.1247,5.97,41.03,88.82,0.3769,0.1284,21.05,Out To RF,80,Nationals Park,
173,608348,Carson Kelly,CHC,STL,2026-07-28T23:45:00Z,Pre-Game,7,Michael McGreevy,700241,R,42.1,Longshot,Watch List,Projected Lineup,28.5,54.9,41.6,59.8,50.0,9.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","same-side matchup; pitcher baseline 9.8% barrel, 14.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.15,38.27,88.17,99.0449,0.3879,0.1512,0.3182,70.82,8.75,38.73,24.8,9.3,0.1335,9.78,41.57,90.29,0.4843,0.2026,25.64,In From LF,91,Busch Stadium,
